Pos,No,Driver,Car,Time
1,5,Michael SchumacherMSC,Ferrari,1:31.431
2,6,Felipe MassaMAS,Ferrari,1:31.478
3,12,Jenson ButtonBUT,Honda,1:31.549
4,1,Fernando AlonsoALO,Renault,1:31.702
5,4,Juan Pablo MontoyaMOY,McLaren Mercedes,1:32.164
6,11,Rubens BarrichelloBAR,Honda,1:32.579
7,9,Mark WebberWEB,Williams Cosworth,1:33.006
8,15,Christian KlienKLI,RBR Ferrari,1:33.112
9,2,Giancarlo FisichellaFIS,Renault,1:33.496
10,16,Nick HeidfeldHEI,Sauber BMW,1:33.926
11,17,Jacques VilleneuveVIL,Sauber BMW,1:32.456
12,10,Nico RosbergROS,Williams Cosworth,1:32.620
13,14,David CoulthardCOU,RBR Ferrari,1:32.850
14,8,Jarno TrulliTRU,Toyota,1:33.066
15,20,Vitantonio LiuzziLIU,STR Cosworth,1:33.416
16,21,Scott SpeedSPE,STR Cosworth,1:34.606
17,7,Ralf SchumacherRSC,Toyota,1:34.702
18,19,Christijan AlbersALB,MF1 Toyota,1:35.724
19,18,Tiago MonteiroMON,MF1 Toyota,1:35.900
20,22,Takuma SatoSAT,Super Aguri Honda,1:37.411
21,23,Yuji IdeIDE,Super Aguri Honda,1:40.270
22,3,Kimi RäikkönenRAI,McLaren Mercedes,
