Pos,No,Driver,Car,Time
1,1,Fernando AlonsoALO,Renault,1:13.962
2,9,Mark WebberWEB,Williams Cosworth,1:14.082
3,3,Kimi RäikkönenRAI,McLaren Mercedes,1:14.140
4,4,Juan Pablo MontoyaMOY,McLaren Mercedes,1:14.664
5,11,Rubens BarrichelloBAR,Honda,1:15.804
6,8,Jarno TrulliTRU,Toyota,1:15.857
7,14,David CoulthardCOU,RBR Ferrari,1:16.426
8,10,Nico RosbergROS,Williams Cosworth,1:16.636
9,2,Giancarlo FisichellaFIS,Renault,1:17.260
10,7,Ralf SchumacherRSC,Toyota,1:14.398
11,15,Christian KlienKLI,RBR Ferrari,1:14.747
12,20,Vitantonio LiuzziLIU,STR Cosworth,1:14.969
13,12,Jenson ButtonBUT,Honda,1:14.982
14,17,Jacques VilleneuveVIL,Sauber BMW,1:15.052
15,16,Nick HeidfeldHEI,Sauber BMW,1:15.137
16,19,Christijan AlbersALB,MF1 Toyota,1:15.598
17,18,Tiago MonteiroMON,MF1 Toyota,1:15.993
18,21,Scott SpeedSPE,STR Cosworth,1:16.236
19,22,Takuma SatoSAT,Super Aguri Honda,1:17.276
20,23,Franck MontagnyMON,Super Aguri Honda,1:17.502
21,6,Felipe MassaMAS,Ferrari,
22,5,Michael SchumacherMSC,Ferrari,1:13.898
