Pos,No,Driver,Car,Time,Gap
1,11,Alain ProstPRO,McLaren Honda,1:18.143,
2,28,Gerhard BergerBER,Ferrari,1:19.199,+1.056s
3,15,Mauricio GugelminGUG,March Judd,1:19.588,+1.445s
4,27,Michele AlboretoALB,Ferrari,1:19.764,+1.621s
5,6,Riccardo PatresePAT,Williams Judd,1:19.864,+1.721s
6,19,Alessandro NanniniNAN,Benetton Ford,1:19.865,+1.722s
7,5,Nigel MansellMAN,Williams Judd,1:19.938,+1.795s
8,16,Ivan CapelliCAP,March Judd,1:20.194,+2.051s
9,22,Andrea de CesarisDEC,Rial Ford,1:20.526,+2.383s
10,1,Nelson PiquetPIQ,Lotus Honda,1:20.580,+2.437s
11,2,Satoru NakajimaNAK,Lotus Honda,1:20.615,+2.472s
12,36,Alex CaffiCAF,Dallara Ford,1:21.130,+2.987s
13,23,Pierluigi MartiniMAR,Minardi Ford,1:21.164,+3.021s
14,29,Yannick DalmasDAL,Lola Ford,1:21.252,+3.109s
15,21,Nicola LariniLAR,Osella,1:21.376,+3.233s
16,17,Derek WarwickWAR,Arrows Megatron,1:21.516,+3.373s
17,12,Ayrton SennaSEN,McLaren Honda,1:21.637,+3.494s
18,18,Eddie  CheeverCHE,Arrows Megatron,1:21.654,+3.511s
19,20,Thierry BoutsenBOU,Benetton Ford,1:21.731,+3.588s
20,14,Philippe StreiffSTR,AGS Ford,1:21.784,+3.641s
21,30,Philippe AlliotALL,Lola Ford,1:21.805,+3.662s
22,31,Gabriele TarquiniTAR,Coloni Ford,1:22.287,+4.144s
23,25,Rene ArnouxARN,Ligier Judd,1:22.306,+4.163s
24,26,Stefan JohanssonJOH,Ligier Judd,1:22.332,+4.189s
25,3,Jonathan  PalmerPAL,Tyrrell Ford,1:22.341,+4.198s
26,9,Piercarlo GhinzaniGHI,Zakspeed,1:22.461,+4.318s
27,4,Julian BaileyBAI,Tyrrell Ford,1:22.628,+4.485s
28,10,Bernd SchneiderSCH,Zakspeed,1:22.708,+4.565s
29,33,Stefano ModenaMOD,Euro Brun Ford,1:23.192,+5.049s
30,24,Luis Perez-SalaPER,Minardi Ford,1:23.252,+5.109s
