Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,1:45.990,
2,11,Alain ProstPRO,McLaren Honda,1:46.062,+0.072s
3,27,Michele AlboretoALB,Ferrari,1:48.680,+2.690s
4,1,Nelson PiquetPIQ,Lotus Honda,1:48.773,+2.783s
5,15,Mauricio GugelminGUG,March Judd,1:49.609,+3.619s
6,16,Ivan CapelliCAP,March Judd,1:49.841,+3.851s
7,5,Nigel MansellMAN,Williams Judd,1:49.984,+3.994s
8,2,Satoru NakajimaNAK,Lotus Honda,1:50.092,+4.102s
9,28,Gerhard BergerBER,Ferrari,1:50.712,+4.722s
10,18,Eddie  CheeverCHE,Arrows Megatron,1:51.700,+5.710s
11,17,Derek WarwickWAR,Arrows Megatron,1:51.984,+5.994s
12,14,Philippe StreiffSTR,AGS Ford,1:51.994,+6.004s
13,22,Andrea de CesarisDEC,Rial Ford,1:52.144,+6.154s
14,30,Philippe AlliotALL,Lola Ford,1:52.218,+6.228s
15,25,Rene ArnouxARN,Ligier Judd,1:52.297,+6.307s
16,20,Thierry BoutsenBOU,Benetton Ford,1:52.365,+6.375s
17,6,Riccardo PatresePAT,Williams Judd,1:52.491,+6.501s
18,10,Bernd SchneiderSCH,Zakspeed,1:52.496,+6.506s
19,36,Alex CaffiCAF,Dallara Ford,1:52.896,+6.906s
20,9,Piercarlo GhinzaniGHI,Zakspeed,1:53.066,+7.076s
21,21,Nicola LariniLAR,Osella,1:53.285,+7.295s
22,29,Yannick DalmasDAL,Lola Ford,1:53.310,+7.320s
23,23,Pierluigi MartiniMAR,Minardi Ford,1:53.430,+7.440s
24,4,Julian BaileyBAI,Tyrrell Ford,1:53.491,+7.501s
25,33,Stefano ModenaMOD,Euro Brun Ford,1:53.623,+7.633s
26,32,Oscar LarrauriLAR,Euro Brun Ford,1:53.841,+7.851s
27,3,Jonathan  PalmerPAL,Tyrrell Ford,1:54.232,+8.242s
28,24,Luis Perez-SalaPER,Minardi Ford,1:54.971,+8.981s
29,26,Stefan JohanssonJOH,Ligier Judd,1:54.989,+8.999s
30,19,Alessandro NanniniNAN,Benetton Ford,2:10.884,+24.894s
