Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,1:18.414,
2,11,Alain ProstPRO,McLaren Honda,1:18.519,+0.105s
3,5,Nigel MansellMAN,Williams Judd,1:20.088,+1.674s
4,6,Riccardo PatresePAT,Williams Judd,1:20.466,+2.052s
5,19,Alessandro NanniniNAN,Benetton Ford,1:20.663,+2.249s
6,28,Gerhard BergerBER,Ferrari,1:20.671,+2.257s
7,1,Nelson PiquetPIQ,Lotus Honda,1:20.796,+2.382s
8,18,Eddie  CheeverCHE,Arrows Megatron,1:20.998,+2.584s
9,2,Satoru NakajimaNAK,Lotus Honda,1:21.129,+2.715s
10,22,Andrea de CesarisDEC,Rial Ford,1:21.230,+2.816s
11,36,Alex CaffiCAF,Dallara Ford,1:21.296,+2.882s
12,15,Mauricio GugelminGUG,March Judd,1:21.410,+2.996s
13,16,Ivan CapelliCAP,March Judd,1:21.478,+3.064s
14,3,Jonathan  PalmerPAL,Tyrrell Ford,1:21.481,+3.067s
15,23,Pierluigi MartiniMAR,Minardi Ford,1:21.579,+3.165s
16,27,Michele AlboretoALB,Ferrari,1:21.629,+3.215s
17,33,Stefano ModenaMOD,Euro Brun Ford,1:21.786,+3.372s
18,17,Derek WarwickWAR,Arrows Megatron,1:21.915,+3.501s
19,30,Philippe AlliotALL,Lola Ford,1:21.930,+3.516s
20,14,Philippe StreiffSTR,AGS Ford,1:21.941,+3.527s
21,32,Oscar LarrauriLAR,Euro Brun Ford,1:22.008,+3.594s
22,25,Rene ArnouxARN,Ligier Judd,1:22.011,+3.597s
23,20,Thierry BoutsenBOU,Benetton Ford,1:22.012,+3.598s
24,9,Piercarlo GhinzaniGHI,Zakspeed,1:22.486,+4.072s
25,4,Julian BaileyBAI,Tyrrell Ford,1:22.517,+4.103s
26,24,Luis Perez-SalaPER,Minardi Ford,1:22.582,+4.168s
27,31,Gabriele TarquiniTAR,Coloni Ford,1:22.808,+4.394s
28,26,Stefan JohanssonJOH,Ligier Judd,1:22.869,+4.455s
29,29,Pierre Henri RaphanelRAP,Lola Ford,1:22.929,+4.515s
30,10,Bernd SchneiderSCH,Zakspeed,1:24.099,+5.685s
