Pos,No,Driver,Car,Time,Gap
1,11,Alain ProstPRO,McLaren Honda,1:23.706,
2,12,Ayrton SennaSEN,McLaren Honda,1:24.128,+0.422s
3,20,Thierry BoutsenBOU,Benetton Ford,1:24.588,+0.882s
4,1,Nelson PiquetPIQ,Lotus Honda,1:24.625,+0.919s
5,27,Michele AlboretoALB,Ferrari,1:24.711,+1.005s
6,14,Philippe StreiffSTR,AGS Ford,1:24.886,+1.180s
7,18,Eddie  CheeverCHE,Arrows Megatron,1:25.122,+1.416s
8,19,Alessandro NanniniNAN,Benetton Ford,1:25.430,+1.724s
9,5,Nigel MansellMAN,Williams Judd,1:25.519,+1.813s
10,22,Andrea de CesarisDEC,Rial Ford,1:25.540,+1.834s
11,17,Derek WarwickWAR,Arrows Megatron,1:25.565,+1.859s
12,6,Riccardo PatresePAT,Williams Judd,1:25.628,+1.922s
13,30,Philippe AlliotALL,Lola Ford,1:26.108,+2.402s
14,33,Stefano ModenaMOD,Euro Brun Ford,1:26.131,+2.425s
15,25,Rene ArnouxARN,Ligier Judd,1:26.147,+2.441s
16,15,Mauricio GugelminGUG,March Judd,1:26.312,+2.606s
17,32,Oscar LarrauriLAR,Euro Brun Ford,1:26.349,+2.643s
18,23,Adrian CamposCAM,Minardi Ford,1:26.613,+2.907s
19,16,Ivan CapelliCAP,March Judd,1:26.678,+2.972s
20,3,Jonathan  PalmerPAL,Tyrrell Ford,1:26.783,+3.077s
21,24,Luis Perez-SalaPER,Minardi Ford,1:26.886,+3.180s
22,4,Julian BaileyBAI,Tyrrell Ford,1:26.896,+3.190s
23,26,Stefan JohanssonJOH,Ligier Judd,1:27.643,+3.937s
24,2,Satoru NakajimaNAK,Lotus Honda,1:27.663,+3.957s
25,10,Bernd SchneiderSCH,Zakspeed,1:27.727,+4.021s
26,28,Gerhard BergerBER,Ferrari,1:27.782,+4.076s
27,31,Gabriele TarquiniTAR,Coloni Ford,1:27.968,+4.262s
28,9,Piercarlo GhinzaniGHI,Zakspeed,1:27.968,+4.262s
29,21,Nicola LariniLAR,Osella,1:28.070,+4.364s
30,29,Yannick DalmasDAL,Lola Ford,1:29.828,+6.122s
