Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,1:28.623,
2,5,Nigel MansellMAN,Williams Judd,1:28.644,+0.021s
3,11,Alain ProstPRO,McLaren Honda,1:29.698,+1.075s
4,16,Ivan CapelliCAP,March Judd,1:29.759,+1.136s
5,19,Alessandro NanniniNAN,Benetton Ford,1:30.044,+1.421s
6,15,Mauricio GugelminGUG,March Judd,1:30.419,+1.796s
7,6,Riccardo PatresePAT,Williams Judd,1:31.010,+2.387s
8,28,Gerhard BergerBER,Ferrari,1:31.255,+2.632s
9,20,Thierry BoutsenBOU,Benetton Ford,1:31.734,+3.111s
10,27,Michele AlboretoALB,Ferrari,1:31.832,+3.209s
11,1,Nelson PiquetPIQ,Lotus Honda,1:31.894,+3.271s
12,36,Alex CaffiCAF,Dallara Ford,1:31.912,+3.289s
13,17,Derek WarwickWAR,Arrows Megatron,1:32.307,+3.684s
14,30,Philippe AlliotALL,Lola Ford,1:32.363,+3.740s
15,23,Pierluigi MartiniMAR,Minardi Ford,1:32.370,+3.747s
16,25,Rene ArnouxARN,Ligier Judd,1:32.521,+3.898s
17,22,Andrea de CesarisDEC,Rial Ford,1:32.522,+3.899s
18,29,Yannick DalmasDAL,Lola Ford,1:32.554,+3.931s
19,2,Satoru NakajimaNAK,Lotus Honda,1:32.781,+4.158s
20,18,Eddie  CheeverCHE,Arrows Megatron,1:32.901,+4.278s
21,24,Luis Perez-SalaPER,Minardi Ford,1:33.140,+4.517s
22,31,Gabriele TarquiniTAR,Coloni Ford,1:33.254,+4.631s
23,26,Stefan JohanssonJOH,Ligier Judd,1:33.601,+4.978s
24,3,Jonathan  PalmerPAL,Tyrrell Ford,1:33.615,+4.992s
25,4,Julian BaileyBAI,Tyrrell Ford,1:33.794,+5.171s
26,33,Stefano ModenaMOD,Euro Brun Ford,1:33.944,+5.321s
27,14,Philippe StreiffSTR,AGS Ford,1:33.970,+5.347s
28,9,Piercarlo GhinzaniGHI,Zakspeed,1:34.515,+5.892s
29,32,Oscar LarrauriLAR,Euro Brun Ford,1:34.598,+5.975s
30,10,Bernd SchneiderSCH,Zakspeed,1:35.219,+6.596s
