Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,2:14.444,
2,28,Gerhard BergerBER,Ferrari,2:15.567,+1.123s
3,15,Mauricio GugelminGUG,March Judd,2:15.657,+1.213s
4,16,Ivan CapelliCAP,March Judd,2:15.773,+1.329s
5,27,Michele AlboretoALB,Ferrari,2:15.889,+1.445s
6,5,Martin BrundleBRU,Williams Judd,2:16.172,+1.728s
7,36,Alex CaffiCAF,Dallara Ford,2:16.414,+1.970s
8,11,Alain ProstPRO,McLaren Honda,2:16.561,+2.117s
9,1,Nelson PiquetPIQ,Lotus Honda,2:16.767,+2.323s
10,6,Riccardo PatresePAT,Williams Judd,2:16.803,+2.359s
11,19,Alessandro NanniniNAN,Benetton Ford,2:17.724,+3.280s
12,14,Philippe StreiffSTR,AGS Ford,2:18.070,+3.626s
13,2,Satoru NakajimaNAK,Lotus Honda,2:18.392,+3.948s
14,20,Thierry BoutsenBOU,Benetton Ford,2:18.431,+3.987s
15,22,Andrea de CesarisDEC,Rial Ford,2:18.472,+4.028s
16,21,Nicola LariniLAR,Osella,2:18.945,+4.501s
17,23,Pierluigi MartiniMAR,Minardi Ford,2:18.990,+4.546s
18,4,Julian BaileyBAI,Tyrrell Ford,2:19.343,+4.899s
19,18,Eddie  CheeverCHE,Arrows Megatron,2:19.478,+5.034s
20,3,Jonathan  PalmerPAL,Tyrrell Ford,2:19.623,+5.179s
21,10,Bernd SchneiderSCH,Zakspeed,2:20.160,+5.716s
22,30,Philippe AlliotALL,Lola Ford,2:21.064,+6.620s
23,26,Stefan JohanssonJOH,Ligier Judd,2:21.782,+7.338s
24,33,Stefano ModenaMOD,Euro Brun Ford,2:22.095,+7.651s
25,25,Rene ArnouxARN,Ligier Judd,2:22.462,+8.018s
26,17,Derek WarwickWAR,Arrows Megatron,2:22.729,+8.285s
27,24,Luis Perez-SalaPER,Minardi Ford,2:23.229,+8.785s
28,29,Yannick DalmasDAL,Lola Ford,2:26.474,+12.030s
29,31,Gabriele TarquiniTAR,Coloni Ford,2:27.897,+13.453s
