Pos,No,Driver,Car,Time,Gap
1,27,Michele AlboretoALB,Ferrari,1:44.290,
2,12,Ayrton SennaSEN,McLaren Honda,1:44.543,+0.253s
3,5,Nigel MansellMAN,Williams Judd,1:44.668,+0.378s
4,16,Ivan CapelliCAP,March Judd,1:44.694,+0.404s
5,6,Riccardo PatresePAT,Williams Judd,1:44.930,+0.640s
6,15,Mauricio GugelminGUG,March Judd,1:44.945,+0.655s
7,11,Alain ProstPRO,McLaren Honda,1:45.233,+0.943s
8,2,Satoru NakajimaNAK,Lotus Honda,1:45.731,+1.441s
9,22,Andrea de CesarisDEC,Rial Ford,1:46.092,+1.802s
10,1,Nelson PiquetPIQ,Lotus Honda,1:46.193,+1.903s
11,20,Thierry BoutsenBOU,Benetton Ford,1:46.279,+1.989s
12,36,Alex CaffiCAF,Dallara Ford,1:46.853,+2.563s
13,19,Alessandro NanniniNAN,Benetton Ford,1:47.094,+2.804s
14,23,Pierluigi MartiniMAR,Minardi Ford,1:47.349,+3.059s
15,18,Eddie  CheeverCHE,Arrows Megatron,1:47.428,+3.138s
16,30,Philippe AlliotALL,Lola Ford,1:47.521,+3.231s
17,14,Philippe StreiffSTR,AGS Ford,1:47.601,+3.311s
18,28,Gerhard BergerBER,Ferrari,1:47.649,+3.359s
19,26,Stefan JohanssonJOH,Ligier Judd,1:47.733,+3.443s
20,10,Bernd SchneiderSCH,Zakspeed,1:47.921,+3.631s
21,25,Rene ArnouxARN,Ligier Judd,1:48.036,+3.746s
22,21,Nicola LariniLAR,Osella,1:48.551,+4.261s
23,9,Piercarlo GhinzaniGHI,Zakspeed,1:48.663,+4.373s
24,29,Aguri SuzukiSUZ,Lola Ford,1:48.725,+4.435s
25,24,Luis Perez-SalaPER,Minardi Ford,1:48.807,+4.517s
26,4,Julian BaileyBAI,Tyrrell Ford,1:49.053,+4.763s
27,3,Jonathan  PalmerPAL,Tyrrell Ford,1:49.548,+5.258s
28,17,Derek WarwickWAR,Arrows Megatron,1:49.569,+5.279s
29,33,Stefano ModenaMOD,Euro Brun Ford,1:49.576,+5.286s
30,32,Oscar LarrauriLAR,Euro Brun Ford,1:50.418,+6.128s
