Pos,No,Driver,Car,Time,Gap
1,11,Alain ProstPRO,McLaren Honda,1:19.055,
2,28,Gerhard BergerBER,Ferrari,1:19.547,+0.492s
3,27,Michele AlboretoALB,Ferrari,1:19.796,+0.741s
4,12,Ayrton SennaSEN,McLaren Honda,1:20.324,+1.269s
5,2,Satoru NakajimaNAK,Lotus Honda,1:20.574,+1.519s
6,1,Nelson PiquetPIQ,Lotus Honda,1:20.955,+1.900s
7,17,Derek WarwickWAR,Arrows Megatron,1:21.349,+2.294s
8,18,Eddie  CheeverCHE,Arrows Megatron,1:21.584,+2.529s
9,20,Thierry BoutsenBOU,Benetton Ford,1:21.675,+2.620s
10,19,Alessandro NanniniNAN,Benetton Ford,1:21.770,+2.715s
11,15,Mauricio GugelminGUG,March Judd,1:22.320,+3.265s
12,16,Ivan CapelliCAP,March Judd,1:22.386,+3.331s
13,30,Philippe AlliotALL,Lola Ford,1:22.826,+3.771s
14,5,Nigel MansellMAN,Williams Judd,1:23.273,+4.218s
15,22,Andrea de CesarisDEC,Rial Ford,1:23.282,+4.227s
16,14,Philippe StreiffSTR,AGS Ford,1:23.863,+4.808s
17,6,Riccardo PatresePAT,Williams Judd,1:23.997,+4.942s
18,32,Oscar LarrauriLAR,Euro Brun Ford,1:24.037,+4.982s
19,10,Bernd SchneiderSCH,Zakspeed,1:24.221,+5.166s
20,26,Stefan JohanssonJOH,Ligier Judd,1:24.519,+5.464s
21,25,Rene ArnouxARN,Ligier Judd,1:24.880,+5.825s
22,4,Julian BaileyBAI,Tyrrell Ford,1:24.951,+5.896s
23,29,Yannick DalmasDAL,Lola Ford,1:25.016,+5.961s
24,36,Alex CaffiCAF,Dallara Ford,1:25.210,+6.155s
25,31,Gabriele TarquiniTAR,Coloni Ford,1:25.346,+6.291s
26,24,Luis Perez-SalaPER,Minardi Ford,1:25.395,+6.340s
27,3,Jonathan  PalmerPAL,Tyrrell Ford,1:25.687,+6.632s
28,9,Piercarlo GhinzaniGHI,Zakspeed,1:25.763,+6.708s
29,23,Adrian CamposCAM,Minardi Ford,1:25.938,+6.883s
30,21,Nicola LariniLAR,Osella,2:56.569,+97.514s
