Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,1:25.385,
2,11,Alain ProstPRO,McLaren Honda,1:26.363,+0.978s
3,5,Nigel MansellMAN,Williams Judd,1:27.710,+2.325s
4,28,Gerhard BergerBER,Ferrari,1:27.724,+2.339s
5,17,Derek WarwickWAR,Arrows Megatron,1:28.348,+2.963s
6,27,Michele AlboretoALB,Ferrari,1:28.784,+3.399s
7,19,Alessandro NanniniNAN,Benetton Ford,1:28.999,+3.614s
8,1,Nelson PiquetPIQ,Lotus Honda,1:29.215,+3.830s
9,30,Philippe AlliotALL,Lola Ford,1:29.298,+3.913s
10,18,Eddie  CheeverCHE,Arrows Megatron,1:29.584,+4.199s
11,32,Oscar LarrauriLAR,Euro Brun Ford,1:29.749,+4.364s
12,24,Luis Perez-SalaPER,Minardi Ford,1:29.767,+4.382s
13,3,Jonathan  PalmerPAL,Tyrrell Ford,1:29.970,+4.585s
14,29,Yannick DalmasDAL,Lola Ford,1:30.091,+4.706s
15,25,Rene ArnouxARN,Ligier Judd,1:30.191,+4.806s
16,14,Philippe StreiffSTR,AGS Ford,1:30.332,+4.947s
17,2,Satoru NakajimaNAK,Lotus Honda,1:30.402,+5.017s
18,15,Mauricio GugelminGUG,March Judd,1:30.403,+5.018s
19,20,Thierry BoutsenBOU,Benetton Ford,1:30.591,+5.206s
20,31,Gabriele TarquiniTAR,Coloni Ford,1:30.658,+5.273s
21,21,Nicola LariniLAR,Osella,1:30.813,+5.428s
22,16,Ivan CapelliCAP,March Judd,1:30.866,+5.481s
23,22,Andrea de CesarisDEC,Rial Ford,1:30.920,+5.535s
24,9,Piercarlo GhinzaniGHI,Zakspeed,1:31.016,+5.631s
25,36,Alex CaffiCAF,Dallara Ford,1:31.080,+5.695s
26,26,Stefan JohanssonJOH,Ligier Judd,1:31.266,+5.881s
27,23,Adrian CamposCAM,Minardi Ford,1:31.564,+6.179s
28,4,Julian BaileyBAI,Tyrrell Ford,1:32.125,+6.740s
29,10,Bernd SchneiderSCH,Zakspeed,1:32.928,+7.543s
30,6,Riccardo PatresePAT,Williams Judd,4:31.578,+186.193s
