Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,1:11.308,
2,27,Michele AlboretoALB,Ferrari,1:11.718,+0.410s
3,28,Gerhard BergerBER,Ferrari,1:11.817,+0.509s
4,11,Alain ProstPRO,McLaren Honda,1:11.819,+0.511s
5,15,Mauricio GugelminGUG,March Judd,1:12.202,+0.894s
6,16,Ivan CapelliCAP,March Judd,1:12.399,+1.091s
7,20,Thierry BoutsenBOU,Benetton Ford,1:12.808,+1.500s
8,19,Alessandro NanniniNAN,Benetton Ford,1:13.506,+2.198s
9,1,Nelson PiquetPIQ,Lotus Honda,1:13.593,+2.285s
10,5,Nigel MansellMAN,Williams Judd,1:13.647,+2.339s
11,17,Derek WarwickWAR,Arrows Megatron,1:13.768,+2.460s
12,18,Eddie  CheeverCHE,Arrows Megatron,1:13.884,+2.576s
13,6,Riccardo PatresePAT,Williams Judd,1:14.178,+2.870s
14,22,Andrea de CesarisDEC,Rial Ford,1:14.490,+3.182s
15,14,Philippe StreiffSTR,AGS Ford,1:14.913,+3.605s
16,33,Stefano ModenaMOD,Euro Brun Ford,1:15.292,+3.984s
17,24,Luis Perez-SalaPER,Minardi Ford,1:15.379,+4.071s
18,23,Pierluigi MartiniMAR,Minardi Ford,1:15.423,+4.115s
19,36,Alex CaffiCAF,Dallara Ford,1:15.525,+4.217s
20,29,Yannick DalmasDAL,Lola Ford,1:15.689,+4.381s
21,30,Philippe AlliotALL,Lola Ford,1:15.787,+4.479s
22,4,Julian BaileyBAI,Tyrrell Ford,1:15.797,+4.489s
23,21,Nicola LariniLAR,Osella,1:15.829,+4.521s
24,3,Jonathan  PalmerPAL,Tyrrell Ford,1:16.035,+4.727s
25,32,Oscar LarrauriLAR,Euro Brun Ford,1:16.200,+4.892s
26,25,Rene ArnouxARN,Ligier Judd,1:16.315,+5.007s
27,26,Stefan JohanssonJOH,Ligier Judd,1:16.642,+5.334s
28,2,Satoru NakajimaNAK,Lotus Honda,1:16.651,+5.343s
29,9,Piercarlo GhinzaniGHI,Zakspeed,1:17.676,+6.368s
30,10,Bernd SchneiderSCH,Zakspeed,1:18.487,+7.179s
