Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,1:24.772,
2,5,Nigel MansellMAN,Williams Judd,1:24.983,+0.211s
3,11,Alain ProstPRO,McLaren Honda,1:25.040,+0.268s
4,6,Riccardo PatresePAT,Williams Judd,1:25.366,+0.594s
5,1,Nelson PiquetPIQ,Lotus Honda,1:25.753,+0.981s
6,16,Ivan CapelliCAP,March Judd,1:26.043,+1.271s
7,14,Philippe StreiffSTR,AGS Ford,1:26.241,+1.469s
8,15,Mauricio GugelminGUG,March Judd,1:26.323,+1.551s
9,2,Satoru NakajimaNAK,Lotus Honda,1:26.425,+1.653s
10,28,Gerhard BergerBER,Ferrari,1:26.678,+1.906s
11,23,Pierluigi MartiniMAR,Minardi Ford,1:26.966,+2.194s
12,26,Stefan JohanssonJOH,Ligier Judd,1:27.299,+2.527s
13,18,Eddie  CheeverCHE,Arrows Megatron,1:27.368,+2.596s
14,17,Derek WarwickWAR,Arrows Megatron,1:27.371,+2.599s
15,36,Alex CaffiCAF,Dallara Ford,1:27.579,+2.807s
16,20,Thierry BoutsenBOU,Benetton Ford,1:27.609,+2.837s
17,25,Rene ArnouxARN,Ligier Judd,1:27.714,+2.942s
18,29,Yannick DalmasDAL,Lola Ford,1:27.791,+3.019s
19,30,Philippe AlliotALL,Lola Ford,1:27.850,+3.078s
20,27,Michele AlboretoALB,Ferrari,1:27.877,+3.105s
21,21,Nicola LariniLAR,Osella,1:28.103,+3.331s
22,19,Alessandro NanniniNAN,Benetton Ford,1:28.309,+3.537s
23,24,Luis Perez-SalaPER,Minardi Ford,1:28.474,+3.702s
24,10,Bernd SchneiderSCH,Zakspeed,1:28.600,+3.828s
25,4,Julian BaileyBAI,Tyrrell Ford,1:28.936,+4.164s
26,3,Jonathan  PalmerPAL,Tyrrell Ford,1:29.171,+4.399s
27,32,Oscar LarrauriLAR,Euro Brun Ford,1:29.193,+4.421s
28,9,Piercarlo GhinzaniGHI,Zakspeed,1:29.700,+4.928s
29,33,Stefano ModenaMOD,Euro Brun Ford,1:29.837,+5.065s
30,22,Andrea de CesarisDEC,Rial Ford,1:29.857,+5.085s
