Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,1:40.177,
2,11,Alain ProstPRO,McLaren Honda,1:40.314,+0.137s
3,5,Nigel MansellMAN,Williams Judd,1:40.589,+0.412s
4,20,Thierry BoutsenBOU,Benetton Ford,1:40.679,+0.502s
5,27,Michele AlboretoALB,Ferrari,1:41.126,+0.949s
6,28,Gerhard BergerBER,Ferrari,1:41.824,+1.647s
7,6,Riccardo PatresePAT,Williams Judd,1:42.135,+1.958s
8,15,Mauricio GugelminGUG,March Judd,1:42.206,+2.029s
9,14,Philippe StreiffSTR,AGS Ford,1:42.378,+2.201s
10,17,Derek WarwickWAR,Arrows Megatron,1:42.511,+2.334s
11,18,Eddie  CheeverCHE,Arrows Megatron,1:42.520,+2.343s
12,30,Philippe AlliotALL,Lola Ford,1:42.649,+2.472s
13,29,Yannick DalmasDAL,Lola Ford,1:42.961,+2.784s
14,3,Jonathan  PalmerPAL,Tyrrell Ford,1:43.065,+2.888s
15,1,Nelson PiquetPIQ,Lotus Honda,1:43.308,+3.131s
16,16,Ivan CapelliCAP,March Judd,1:43.329,+3.152s
17,19,Alessandro NanniniNAN,Benetton Ford,1:43.402,+3.225s
18,22,Andrea de CesarisDEC,Rial Ford,1:43.526,+3.349s
19,25,Rene ArnouxARN,Ligier Judd,1:43.620,+3.443s
20,36,Alex CaffiCAF,Dallara Ford,1:43.747,+3.570s
21,26,Stefan JohanssonJOH,Ligier Judd,1:43.913,+3.736s
22,4,Julian BaileyBAI,Tyrrell Ford,1:44.122,+3.945s
23,21,Nicola LariniLAR,Osella,1:44.163,+3.986s
24,23,Pierluigi MartiniMAR,Minardi Ford,1:44.477,+4.300s
25,32,Oscar LarrauriLAR,Euro Brun Ford,1:44.942,+4.765s
26,9,Piercarlo GhinzaniGHI,Zakspeed,1:45.017,+4.840s
27,10,Bernd SchneiderSCH,Zakspeed,1:45.644,+5.467s
28,2,Satoru NakajimaNAK,Lotus Honda,1:45.718,+5.541s
29,24,Luis Perez-SalaPER,Minardi Ford,1:45.910,+5.733s
30,33,Stefano ModenaMOD,Euro Brun Ford,1:51.104,+10.927s
