Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,1:29.521,
2,28,Gerhard BergerBER,Ferrari,1:30.568,+1.047s
3,20,Thierry BoutsenBOU,Benetton Ford,1:30.675,+1.154s
4,5,Nigel MansellMAN,Williams Judd,1:31.118,+1.597s
5,27,Michele AlboretoALB,Ferrari,1:31.381,+1.860s
6,1,Nelson PiquetPIQ,Lotus Honda,1:31.915,+2.394s
7,6,Riccardo PatresePAT,Williams Judd,1:32.173,+2.652s
8,15,Mauricio GugelminGUG,March Judd,1:32.390,+2.869s
9,17,Derek WarwickWAR,Arrows Megatron,1:32.793,+3.272s
10,22,Andrea de CesarisDEC,Rial Ford,1:32.835,+3.314s
11,2,Satoru NakajimaNAK,Lotus Honda,1:33.181,+3.660s
12,18,Eddie  CheeverCHE,Arrows Megatron,1:33.756,+4.235s
13,30,Philippe AlliotALL,Lola Ford,1:33.761,+4.240s
14,11,Alain ProstPRO,McLaren Honda,1:34.027,+4.506s
15,19,Alessandro NanniniNAN,Benetton Ford,1:34.215,+4.694s
16,23,Adrian CamposCAM,Minardi Ford,1:35.162,+5.641s
17,29,Yannick DalmasDAL,Lola Ford,1:35.397,+5.876s
18,16,Ivan CapelliCAP,March Judd,1:35.408,+5.887s
19,26,Stefan JohanssonJOH,Ligier Judd,1:35.635,+6.114s
20,24,Luis Perez-SalaPER,Minardi Ford,1:35.793,+6.272s
21,14,Philippe StreiffSTR,AGS Ford,1:35.875,+6.354s
22,32,Oscar LarrauriLAR,Euro Brun Ford,1:36.244,+6.723s
23,25,Rene ArnouxARN,Ligier Judd,1:36.409,+6.888s
24,31,Gabriele TarquiniTAR,Coloni Ford,1:36.420,+6.899s
25,3,Jonathan  PalmerPAL,Tyrrell Ford,1:36.689,+7.168s
26,9,Piercarlo GhinzaniGHI,Zakspeed,1:37.907,+8.386s
27,33,Stefano ModenaMOD,Euro Brun Ford,1:38.352,+8.831s
28,21,Nicola LariniLAR,Osella,1:38.443,+8.922s
29,4,Julian BaileyBAI,Tyrrell Ford,1:38.677,+9.156s
30,10,Bernd SchneiderSCH,Zakspeed,1:39.302,+9.781s
