Pos,No,Driver,Car,Laps,Time/retired,Pts
1,6,Giancarlo FisichellaFIS,Renault,57,1:24:17.336,10
2,2,Rubens BarrichelloBAR,Ferrari,57,+5.553s,8
3,5,Fernando AlonsoALO,Renault,57,+6.712s,6
4,14,David CoulthardCOU,RBR Cosworth,57,+16.131s,5
5,7,Mark WebberWEB,Williams BMW,57,+16.908s,4
6,10,Juan Pablo MontoyaMOY,McLaren Mercedes,57,+35.033s,3
7,15,Christian KlienKLI,RBR Cosworth,57,+38.997s,2
8,9,Kimi RäikkönenRAI,McLaren Mercedes,57,+39.633s,1
9,16,Jarno TrulliTRU,Toyota,57,+63.108s,0
10,12,Felipe MassaMAS,Sauber Petronas,57,+64.393s,0
11,3,Jenson ButtonBUT,BAR Honda,56,DNF,0
12,17,Ralf SchumacherRSC,Toyota,56,+1 lap,0
13,11,Jacques VilleneuveVIL,Sauber Petronas,56,+1 lap,0
14,4,Takuma SatoSAT,BAR Honda,55,DNF,0
15,19,Narain KarthikeyanKAR,Jordan Toyota,55,+2 laps,0
16,18,Tiago MonteiroMON,Jordan Toyota,55,+2 laps,0
17,20,Patrick Friesacher FRI,Minardi Cosworth,53,+4 laps,0
NC,1,Michael SchumacherMSC,Ferrari,42,DNF,0
NC,8,Nick HeidfeldHEI,Williams BMW,42,DNF,0
NC,21,Christijan AlbersALB,Minardi Cosworth,16,DNF,0
