Pos,No,Driver,Car,Laps,Time/retired,Pts
1,9,Kimi RäikkönenRAI,McLaren Mercedes,53,1:29:02.212,10
2,6,Giancarlo FisichellaFIS,Renault,53,+1.633s,8
3,5,Fernando AlonsoALO,Renault,53,+17.456s,6
4,7,Mark WebberWEB,Williams BMW,53,+22.274s,5
5,3,Jenson ButtonBUT,BAR Honda,53,+29.507s,4
6,14,David CoulthardCOU,RBR Cosworth,53,+31.601s,3
7,1,Michael SchumacherMSC,Ferrari,53,+33.879s,2
8,17,Ralf SchumacherRSC,Toyota,53,+49.548s,1
9,15,Christian KlienKLI,RBR Cosworth,53,+51.925s,0
10,12,Felipe MassaMAS,Sauber Petronas,53,+57.509s,0
11,2,Rubens BarrichelloBAR,Ferrari,53,+60.633s,0
12,11,Jacques VilleneuveVIL,Sauber Petronas,53,+83.221s,0
13,18,Tiago MonteiroMON,Jordan Toyota,52,+1 lap,0
14,20,Robert DoornbosDOO,Minardi Cosworth,51,+2 laps,0
15,19,Narain KarthikeyanKAR,Jordan Toyota,51,+2 laps,0
16,21,Christijan AlbersALB,Minardi Cosworth,49,+4 laps,0
NC,8,Antonio PizzoniaPIZ,Williams BMW,9,+1 lap,0
NC,16,Jarno TrulliTRU,Toyota,9,DNF,0
NC,10,Juan Pablo MontoyaMOY,McLaren Mercedes,0,DNF,0
