Pos,No,Driver,Car,Time
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:44.381
2,2,Mark WebberWEB,Red Bull Racing Renault,1:44.732
3,4,Jenson ButtonBUT,McLaren Mercedes,1:44.804
4,3,Lewis HamiltonHAM,McLaren Mercedes,1:44.809
5,5,Fernando AlonsoALO,Ferrari,1:44.874
6,6,Felipe MassaMAS,Ferrari,1:45.800
7,8,Nico RosbergROS,Mercedes,1:46.013
8,7,Michael SchumacherMSC,Mercedes,
9,14,Adrian SutilSUT,Force India Mercedes,
10,15,Paul di RestaDIR,Force India Mercedes,
11,17,Sergio PerezPER,Sauber Ferrari,1:47.616
12,11,Rubens BarrichelloBAR,Williams Cosworth,1:48.082
13,12,Pastor MaldonadoMAL,Williams Cosworth,1:48.270
14,18,Sebastien BuemiBUE,STR Ferrari,1:48.634
15,9,Bruno SennaSEN,Renault,1:48.662
16,19,Jaime AlguersuariALG,STR Ferrari,1:49.862
17,16,Kamui KobayashiKOB,Sauber Ferrari,
18,10,Vitaly PetrovPET,Renault,1:49.835
19,20,Heikki KovalainenKOV,Lotus Renault,1:50.948
20,21,Jarno TrulliTRU,Lotus Renault,1:51.012
21,24,Timo GlockGLO,Virgin Cosworth,1:52.154
22,25,Jerome d'AmbrosioDAM,Virgin Cosworth,1:52.363
23,22,Daniel RicciardoRIC,HRT Cosworth,1:52.404
24,23,Vitantonio LiuzziLIU,HRT Cosworth,1:52.810
