Pos,No,Driver,Car,Time
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:23.529
2,3,Lewis HamiltonHAM,McLaren Mercedes,1:24.307
3,2,Mark WebberWEB,Red Bull Racing Renault,1:24.395
4,4,Jenson ButtonBUT,McLaren Mercedes,1:24.779
5,5,Fernando AlonsoALO,Ferrari,1:24.974
6,10,Vitaly PetrovPET,Renault,1:25.247
7,8,Nico RosbergROS,Mercedes,1:25.421
8,6,Felipe MassaMAS,Ferrari,1:25.599
9,16,Kamui KobayashiKOB,Sauber Ferrari,1:25.626
10,18,Sebastien BuemiBUE,STR Ferrari,1:27.066
11,7,Michael SchumacherMSC,Mercedes,1:25.971
12,19,Jaime AlguersuariALG,STR Ferrari,1:26.103
13,17,Sergio PerezPER,Sauber Ferrari,1:26.108
14,15,Paul di RestaDIR,Force India Mercedes,1:26.739
15,12,Pastor MaldonadoMAL,Williams Cosworth,1:26.768
16,14,Adrian SutilSUT,Force India Mercedes,1:31.407
17,11,Rubens BarrichelloBAR,Williams Cosworth,
18,9,Nick HeidfeldHEI,Renault,1:27.239
19,20,Heikki KovalainenKOV,Lotus Renault,1:29.254
20,21,Jarno TrulliTRU,Lotus Renault,1:29.342
21,24,Timo GlockGLO,Virgin Cosworth,1:29.858
22,25,Jerome d'AmbrosioDAM,Virgin Cosworth,1:30.822
