Pos,No,Driver,Car,Time
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:24.178
2,2,Mark WebberWEB,Red Bull Racing Renault,1:24.508
3,5,Fernando AlonsoALO,Ferrari,1:24.519
4,4,Jenson ButtonBUT,McLaren Mercedes,1:24.950
5,3,Lewis HamiltonHAM,McLaren Mercedes,1:24.474
6,6,Felipe MassaMAS,Ferrari,1:25.122
7,8,Nico RosbergROS,Mercedes,1:25.451
8,14,Adrian SutilSUT,Force India Mercedes,
9,18,Sebastien BuemiBUE,STR Ferrari,
10,19,Jaime AlguersuariALG,STR Ferrari,
11,7,Michael SchumacherMSC,Mercedes,1:26.337
12,15,Paul di RestaDIR,Force India Mercedes,1:26.503
13,12,Pastor MaldonadoMAL,Williams Cosworth,1:26.537
14,9,Bruno SennaSEN,Renault,1:26.651
15,11,Rubens BarrichelloBAR,Williams Cosworth,1:27.247
16,10,Vitaly PetrovPET,Renault,1:26.319
17,16,Kamui KobayashiKOB,Sauber Ferrari,1:27.876
18,20,Heikki KovalainenKOV,Lotus Renault,1:28.565
19,21,Jarno TrulliTRU,Lotus Renault,1:28.752
20,17,Sergio PerezPER,Sauber Ferrari,1:27.562
21,25,Jerome d'AmbrosioDAM,Virgin Cosworth,1:30.866
22,24,Timo GlockGLO,Virgin Cosworth,1:34.046
23,23,Daniel RicciardoRIC,HRT Cosworth,1:30.216
24,22,Narain KarthikeyanKAR,HRT Cosworth,1:30.238
