Pos,No,Driver,Car,Time
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:34.870
2,3,Lewis HamiltonHAM,McLaren Mercedes,1:34.974
3,2,Mark WebberWEB,Red Bull Racing Renault,1:35.179
4,4,Jenson ButtonBUT,McLaren Mercedes,1:35.200
5,5,Fernando AlonsoALO,Ferrari,1:35.802
6,9,Nick HeidfeldHEI,Renault,1:36.124
7,6,Felipe MassaMAS,Ferrari,1:36.251
8,10,Vitaly PetrovPET,Renault,1:36.324
9,8,Nico RosbergROS,Mercedes,1:36.809
10,16,Kamui KobayashiKOB,Sauber Ferrari,1:36.820
11,7,Michael SchumacherMSC,Mercedes,1:37.035
12,18,Sebastien BuemiBUE,STR Ferrari,1:37.160
13,19,Jaime AlguersuariALG,STR Ferrari,1:37.347
14,15,Paul di RestaDIR,Force India Mercedes,1:37.370
15,11,Rubens BarrichelloBAR,Williams Cosworth,1:37.496
16,17,Sergio PerezPER,Sauber Ferrari,1:37.528
17,14,Adrian SutilSUT,Force India Mercedes,1:37.593
18,12,Pastor MaldonadoMAL,Williams Cosworth,1:38.276
19,20,Heikki KovalainenKOV,Lotus Renault,1:38.645
20,21,Jarno TrulliTRU,Lotus Renault,1:38.791
21,24,Timo GlockGLO,Virgin Cosworth,1:40.648
22,25,Jerome d'AmbrosioDAM,Virgin Cosworth,1:41.001
23,23,Vitantonio LiuzziLIU,HRT Cosworth,1:41.549
24,22,Narain KarthikeyanKAR,HRT Cosworth,1:42.574
