Pos,No,Driver,Car,Time
1,3,Lewis HamiltonHAM,McLaren Mercedes,1:35.820
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:36.042
3,4,Jenson ButtonBUT,McLaren Mercedes,1:36.126
4,2,Mark WebberWEB,Red Bull Racing Renault,1:36.468
5,6,Felipe MassaMAS,Ferrari,1:36.831
6,5,Fernando AlonsoALO,Ferrari,1:36.980
7,8,Nico RosbergROS,Mercedes,1:37.754
8,10,Vitaly PetrovPET,Renault,1:38.124
9,15,Paul di RestaDIR,Force India Mercedes,
10,14,Adrian SutilSUT,Force India Mercedes,
11,19,Jaime AlguersuariALG,STR Ferrari,1:38.315
12,7,Michael SchumacherMSC,Mercedes,1:38.354
13,18,Sebastien BuemiBUE,STR Ferrari,1:38.508
14,16,Kamui KobayashiKOB,Sauber Ferrari,1:38.775
15,9,Bruno SennaSEN,Renault,1:38.791
16,12,Pastor MaldonadoMAL,Williams Cosworth,1:39.189
17,17,Sergio PerezPER,Sauber Ferrari,1:39.443
18,11,Rubens BarrichelloBAR,Williams Cosworth,1:39.538
19,20,Heikki KovalainenKOV,Lotus Renault,1:40.522
20,21,Jarno TrulliTRU,Lotus Renault,1:41.101
21,24,Timo GlockGLO,Virgin Cosworth,1:42.091
22,25,Jerome d'AmbrosioDAM,Virgin Cosworth,1:43.483
23,23,Vitantonio LiuzziLIU,HRT Cosworth,1:43.758
24,22,Daniel RicciardoRIC,HRT Cosworth,
