Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,4,Lando NorrisNOR,McLaren Renault,58,14:56:47,1:36.806,198.508
2,77,Valtteri BottasBOT,Mercedes,57,14:56:38,1:38.193,195.704
3,33,Max VerstappenVER,Red Bull Racing Honda,53,14:48:07,1:38.431,195.231
4,55,Carlos SainzSAI,McLaren Renault,56,14:53:01,1:38.754,194.592
5,23,Alexander AlbonALB,Red Bull Racing Honda,54,14:49:49,1:39.099,193.915
6,44,Lewis HamiltonHAM,Mercedes,56,14:52:26,1:39.413,193.302
7,10,Pierre GaslyGAS,AlphaTauri Honda,53,14:49:17,1:39.586,192.966
8,5,Sebastian VettelVET,Ferrari,53,14:47:58,1:39.662,192.819
9,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,57,14:57:08,1:39.743,192.663
10,18,Lance StrollSTR,Racing Point BWT Mercedes,55,14:51:51,1:39.921,192.319
11,16,Charles LeclercLEC,Ferrari,47,14:37:47,1:39.961,192.242
12,11,Sergio PerezPER,Racing Point BWT Mercedes,50,14:42:44,1:40.392,191.417
13,3,Daniel RicciardoRIC,Renault,54,14:50:33,1:40.677,190.875
14,63,George RussellRUS,Williams Mercedes,51,14:47:03,1:40.814,190.616
15,20,Kevin MagnussenMAG,Haas Ferrari,45,14:38:09,1:40.948,190.363
16,31,Esteban OconOCO,Renault,55,14:52:22,1:41.006,190.254
17,26,Daniil KvyatKVY,AlphaTauri Honda,53,14:49:04,1:41.019,190.229
18,8,Romain GrosjeanGRO,Haas Ferrari,38,14:24:48,1:43.281,186.063
19,6,Nicholas LatifiLAT,Williams Mercedes,32,14:15:40,1:43.495,185.678
20,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,11,13:35:39,1:51.122,172.934
