Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,43,15:19:41,1:28.451,239.766
2,33,Max VerstappenVER,Red Bull Racing Honda,46,15:24:00,1:29.465,237.049
3,23,Alexander AlbonALB,Red Bull Racing Honda,46,15:24:35,1:29.477,237.017
4,77,Valtteri BottasBOT,Mercedes,44,15:21:05,1:29.765,236.256
5,6,Nicholas LatifiLAT,Williams Mercedes,48,15:28:58,1:29.950,235.770
6,27,Nico HulkenbergHUL,Racing Point BWT Mercedes,52,15:33:55,1:30.087,235.412
7,10,Pierre GaslyGAS,AlphaTauri Honda,52,15:34:09,1:30.092,235.399
8,16,Charles LeclercLEC,Ferrari,39,15:13:35,1:30.552,234.203
9,55,Carlos SainzSAI,McLaren Renault,49,15:29:40,1:30.556,234.193
10,31,Esteban OconOCO,Renault,50,15:31:00,1:30.575,234.144
11,4,Lando NorrisNOR,McLaren Renault,49,15:29:31,1:30.698,233.826
12,26,Daniil KvyatKVY,AlphaTauri Honda,52,15:34:08,1:30.738,233.723
13,5,Sebastian VettelVET,Ferrari,49,15:29:39,1:30.785,233.602
14,8,Romain GrosjeanGRO,Haas Ferrari,51,15:33:24,1:30.793,233.581
15,18,Lance StrollSTR,Racing Point BWT Mercedes,45,15:23:00,1:30.877,233.365
16,3,Daniel RicciardoRIC,Renault,39,15:14:41,1:31.168,232.621
17,63,George RussellRUS,Williams Mercedes,50,15:31:58,1:31.408,232.010
18,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,30,15:00:49,1:31.756,231.130
19,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,37,15:11:52,1:31.826,230.954
20,20,Kevin MagnussenMAG,Haas Ferrari,39,15:15:15,1:31.830,230.944
