Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,3,Daniel RicciardoRIC,Renault,44,16:38:09,1:47.483,234.589
2,44,Lewis HamiltonHAM,Mercedes,28,16:08:47,1:47.758,233.990
3,10,Pierre GaslyGAS,AlphaTauri Honda,29,16:11:26,1:47.839,233.815
4,16,Charles LeclercLEC,Ferrari,26,16:06:07,1:47.840,233.813
5,77,Valtteri BottasBOT,Mercedes,27,16:07:03,1:47.983,233.503
6,6,Nicholas LatifiLAT,Williams Mercedes,32,16:17:17,1:48.048,233.362
7,20,Kevin MagnussenMAG,Haas Ferrari,37,16:26:30,1:48.083,233.287
8,33,Max VerstappenVER,Red Bull Racing Honda,27,16:07:06,1:48.305,232.809
9,11,Sergio PerezPER,Racing Point BWT Mercedes,20,15:54:55,1:48.389,232.628
10,31,Esteban OconOCO,Renault,44,16:38:31,1:48.540,232.305
11,4,Lando NorrisNOR,McLaren Renault,39,16:29:24,1:48.552,232.279
12,23,Alexander AlbonALB,Red Bull Racing Honda,27,16:07:25,1:48.736,231.886
13,18,Lance StrollSTR,Racing Point BWT Mercedes,34,16:20:18,1:49.136,231.036
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,28,16:09:27,1:49.822,229.593
15,26,Daniil KvyatKVY,AlphaTauri Honda,28,16:09:26,1:49.832,229.572
16,5,Sebastian VettelVET,Ferrari,31,16:15:01,1:49.958,229.309
17,8,Romain GrosjeanGRO,Haas Ferrari,28,16:09:34,1:50.018,229.184
18,63,George RussellRUS,Williams Mercedes,5,15:23:17,1:51.754,225.624
19,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,9,15:30:45,1:51.793,225.545
