Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,58,17:31:41,1:18.833,239.518
2,77,Valtteri BottasBOT,Mercedes,53,17:25:01,1:19.432,237.712
3,23,Alexander AlbonALB,Red Bull Racing Honda,51,17:22:22,1:20.039,235.909
4,3,Daniel RicciardoRIC,Renault,57,17:30:29,1:20.426,234.774
5,11,Sergio PerezPER,Racing Point BWT Mercedes,59,17:33:16,1:20.632,234.175
6,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,59,17:33:25,1:21.164,232.640
7,4,Lando NorrisNOR,McLaren Renault,59,17:33:19,1:21.198,232.542
8,5,Sebastian VettelVET,Ferrari,59,17:33:30,1:21.202,232.531
9,16,Charles LeclercLEC,Ferrari,50,17:21:11,1:21.229,232.453
10,26,Daniil KvyatKVY,AlphaTauri Honda,51,17:22:29,1:21.458,231.800
11,63,George RussellRUS,Williams Mercedes,58,17:32:11,1:21.645,231.269
12,18,Lance StrollSTR,Racing Point BWT Mercedes,42,16:44:58,1:22.068,230.077
13,8,Romain GrosjeanGRO,Haas Ferrari,59,17:33:42,1:22.263,229.532
14,6,Nicholas LatifiLAT,Williams Mercedes,6,15:26:54,2:11.365,143.736
15,31,Esteban OconOCO,Renault,6,15:26:50,2:11.793,143.270
16,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,4,15:22:29,2:13.809,141.111
17,20,Kevin MagnussenMAG,Haas Ferrari,4,15:22:27,2:13.812,141.108
18,55,Carlos SainzSAI,McLaren Renault,5,15:24:44,2:14.103,140.802
