Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,55,Carlos SainzSAI,McLaren Renault,68,16:33:42,1:05.619,236.894
2,33,Max VerstappenVER,Red Bull Racing Honda,70,16:35:08,1:06.145,235.010
3,44,Lewis HamiltonHAM,Mercedes,68,16:32:16,1:06.719,232.989
4,11,Sergio PerezPER,Racing Point BWT Mercedes,68,16:33:02,1:07.188,231.362
5,4,Lando NorrisNOR,McLaren Renault,66,16:31:03,1:07.193,231.345
6,23,Alexander AlbonALB,Red Bull Racing Honda,67,16:31:53,1:07.299,230.981
7,77,Valtteri BottasBOT,Mercedes,62,16:25:42,1:07.534,230.177
8,10,Pierre GaslyGAS,AlphaTauri Honda,69,16:35:28,1:07.827,229.183
9,3,Daniel RicciardoRIC,Renault,65,16:29:52,1:07.832,229.166
10,18,Lance StrollSTR,Racing Point BWT Mercedes,65,16:29:53,1:07.833,229.162
11,20,Kevin MagnussenMAG,Haas Ferrari,69,16:35:11,1:08.009,228.569
12,8,Romain GrosjeanGRO,Haas Ferrari,69,16:35:11,1:08.047,228.442
13,26,Daniil KvyatKVY,AlphaTauri Honda,60,16:24:45,1:08.378,227.336
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,57,16:21:23,1:08.382,227.322
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,54,16:17:56,1:08.512,226.891
16,63,George RussellRUS,Williams Mercedes,36,15:57:27,1:08.601,226.597
17,6,Nicholas LatifiLAT,Williams Mercedes,68,16:34:38,1:08.806,225.922
18,31,Esteban OconOCO,Renault,22,15:40:17,1:09.321,224.243
19,16,Charles LeclercLEC,Ferrari,3,15:18:15,1:35.379,162.979
