Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,33,Max VerstappenVER,Red Bull Racing Honda,52,15:41:29,1:27.097,243.494
2,23,Alexander AlbonALB,Red Bull Racing Honda,52,15:41:56,1:28.689,239.123
3,44,Lewis HamiltonHAM,Mercedes,45,15:30:26,1:29.238,237.652
4,77,Valtteri BottasBOT,Mercedes,41,15:24:31,1:29.265,237.580
5,3,Daniel RicciardoRIC,Renault,49,15:37:14,1:29.482,237.004
6,31,Esteban OconOCO,Renault,50,15:38:51,1:29.491,236.980
7,10,Pierre GaslyGAS,AlphaTauri Honda,52,15:41:55,1:29.603,236.684
8,8,Romain GrosjeanGRO,Haas Ferrari,49,15:37:46,1:29.782,236.212
9,16,Charles LeclercLEC,Ferrari,49,15:37:08,1:29.813,236.130
10,55,Carlos SainzSAI,McLaren Renault,47,15:34:12,1:29.948,235.776
11,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,49,15:38:53,1:29.973,235.710
12,4,Lando NorrisNOR,McLaren Renault,41,15:25:12,1:30.058,235.488
13,18,Lance StrollSTR,Racing Point BWT Mercedes,44,15:29:50,1:30.475,234.402
14,6,Nicholas LatifiLAT,Williams Mercedes,44,15:30:08,1:30.501,234.335
15,5,Sebastian VettelVET,Ferrari,44,15:29:56,1:30.537,234.242
16,63,George RussellRUS,Williams Mercedes,41,15:25:29,1:30.862,233.404
17,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,49,15:37:39,1:30.977,233.109
18,26,Daniil KvyatKVY,AlphaTauri Honda,11,14:33:55,1:32.443,229.412
