Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,63,14:41:45,1:15.484,234.121
2,77,Valtteri BottasBOT,Mercedes,63,14:41:50,1:15.902,232.831
3,23,Alexander AlbonALB,Red Bull Racing Honda,63,14:42:42,1:16.177,231.991
4,3,Daniel RicciardoRIC,Renault,62,14:40:41,1:17.552,227.878
5,33,Max VerstappenVER,Red Bull Racing Honda,44,14:11:48,1:17.637,227.628
6,26,Daniil KvyatKVY,AlphaTauri Honda,62,14:40:42,1:17.666,227.543
7,5,Sebastian VettelVET,Ferrari,44,14:12:52,1:17.767,227.248
8,4,Lando NorrisNOR,McLaren Renault,63,14:42:06,1:18.069,226.368
9,11,Sergio PerezPER,Racing Point BWT Mercedes,49,14:18:58,1:18.084,226.325
10,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,63,14:42:07,1:18.088,226.313
11,55,Carlos SainzSAI,McLaren Renault,62,14:40:47,1:18.118,226.226
12,16,Charles LeclercLEC,Ferrari,62,14:40:45,1:18.173,226.067
13,18,Lance StrollSTR,Racing Point BWT Mercedes,46,14:15:50,1:18.360,225.528
14,6,Nicholas LatifiLAT,Williams Mercedes,37,14:03:40,1:18.719,224.499
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,61,14:39:32,1:18.794,224.286
16,63,George RussellRUS,Williams Mercedes,43,14:11:29,1:18.811,224.237
17,8,Romain GrosjeanGRO,Haas Ferrari,45,14:14:20,1:18.822,224.206
18,20,Kevin MagnussenMAG,Haas Ferrari,45,14:14:42,1:19.273,222.930
19,31,Esteban OconOCO,Renault,22,13:43:31,1:19.606,221.998
20,10,Pierre GaslyGAS,AlphaTauri Honda,5,13:20:03,1:20.403,219.797
