Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,34,16:34:12,1:22.746,252.033
2,55,Carlos SainzSAI,McLaren Renault,40,16:42:17,1:23.882,248.620
3,18,Lance StrollSTR,Racing Point BWT Mercedes,42,16:45:08,1:23.897,248.576
4,3,Daniel RicciardoRIC,Renault,38,16:39:37,1:23.898,248.573
5,77,Valtteri BottasBOT,Mercedes,51,16:57:52,1:23.961,248.386
6,10,Pierre GaslyGAS,AlphaTauri Honda,34,16:33:48,1:24.037,248.162
7,4,Lando NorrisNOR,McLaren Renault,50,16:56:27,1:24.232,247.587
8,11,Sergio PerezPER,Racing Point BWT Mercedes,50,16:56:42,1:24.336,247.282
9,63,George RussellRUS,Williams Mercedes,39,16:41:11,1:24.421,247.033
10,26,Daniil KvyatKVY,AlphaTauri Honda,44,16:48:11,1:24.479,246.863
11,31,Esteban OconOCO,Renault,52,16:59:26,1:24.490,246.831
12,8,Romain GrosjeanGRO,Haas Ferrari,48,16:54:00,1:24.785,245.972
13,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,29,16:26:48,1:24.835,245.827
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,43,16:47:16,1:24.856,245.766
15,23,Alexander AlbonALB,Red Bull Racing Honda,48,16:54:03,1:24.926,245.564
16,6,Nicholas LatifiLAT,Williams Mercedes,39,16:41:08,1:24.999,245.353
17,33,Max VerstappenVER,Red Bull Racing Honda,10,15:27:54,1:25.539,243.804
18,20,Kevin MagnussenMAG,Haas Ferrari,10,15:28:41,1:25.787,243.099
19,16,Charles LeclercLEC,Ferrari,19,15:41:29,1:26.026,242.424
20,5,Sebastian VettelVET,Ferrari,4,15:19:28,1:27.107,239.415
