Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,70,16:49:09,1:16.627,205.823
2,77,Valtteri BottasBOT,Mercedes,66,16:44:03,1:17.665,203.072
3,18,Lance StrollSTR,Racing Point BWT Mercedes,68,16:47:27,1:18.973,199.708
4,33,Max VerstappenVER,Red Bull Racing Honda,60,16:36:03,1:19.184,199.176
5,23,Alexander AlbonALB,Red Bull Racing Honda,68,16:47:47,1:19.440,198.534
6,55,Carlos SainzSAI,McLaren Renault,67,16:46:52,1:19.457,198.492
7,3,Daniel RicciardoRIC,Renault,46,16:18:25,1:19.532,198.305
8,4,Lando NorrisNOR,McLaren Renault,42,16:13:20,1:19.945,197.280
9,63,George RussellRUS,Williams Mercedes,67,16:47:44,1:19.984,197.184
10,11,Sergio PerezPER,Racing Point BWT Mercedes,39,16:08:54,1:20.090,196.923
11,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,44,16:16:46,1:20.096,196.908
12,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,61,16:39:17,1:20.232,196.574
13,31,Esteban OconOCO,Renault,40,16:10:35,1:20.261,196.503
14,5,Sebastian VettelVET,Ferrari,49,16:22:13,1:20.363,196.254
15,20,Kevin MagnussenMAG,Haas Ferrari,68,16:48:08,1:20.477,195.976
16,16,Charles LeclercLEC,Ferrari,64,16:43:00,1:20.821,195.142
17,8,Romain GrosjeanGRO,Haas Ferrari,67,16:47:19,1:20.889,194.978
18,26,Daniil KvyatKVY,AlphaTauri Honda,51,16:25:22,1:20.946,194.841
19,6,Nicholas LatifiLAT,Williams Mercedes,64,16:48:38,1:21.198,194.236
20,10,Pierre GaslyGAS,AlphaTauri Honda,10,15:28:33,1:23.939,187.893
