Pos,No,Driver,Car,Time
1,2,Ayrton SennaSEN,Williams Renault,1:10.218
2,5,Michael SchumacherMSC,Benetton Ford,1:10.440
3,0,Damon HillHIL,Williams Renault,1:10.771
4,7,Mika HakkinenHAK,McLaren Peugeot,1:11.683
5,28,Gerhard BergerBER,Ferrari,1:11.744
6,8,Martin BrundleBRU,McLaren Peugeot,1:12.351
7,27,Nicola LariniLAR,Ferrari,1:12.372
8,14,Rubens BarrichelloBAR,Jordan Hart,1:12.409
9,9,Christian FittipaldiFIT,Footwork Ford,1:12.444
10,6,Jos VerstappenVER,Benetton Ford,1:12.554
11,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:12.686
12,4,Mark BlundellBLU,Tyrrell Yamaha,1:12.751
13,10,Gianni MorbidelliMOR,Footwork Ford,1:12.866
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:13.013
15,24,Michele AlboretoALB,Minardi Ford,1:13.016
16,20,Erik ComasCOM,Larrousse Ford,1:13.111
17,23,Pierluigi MartiniMAR,Minardi Ford,1:13.529
18,25,Eric BernardBER,Ligier Renault,1:13.613
19,29,Karl WendlingerWEN,Sauber Mercedes,1:13.855
20,15,Aguri SuzukiSUZ,Jordan Hart,1:13.932
21,19,Olivier BerettaBER,Larrousse Ford,1:14.101
22,26,Olivier PanisPAN,Ligier Renault,1:14.106
23,12,Johnny HerbertHER,Lotus Mugen Honda,1:14.424
24,11,Pedro LamyLAM,Lotus Mugen Honda,1:14.657
25,31,David BrabhamBRA,Simtek Ford,1:14.748
26,32,Roland RatzenbergerRAT,Simtek Ford,1:16.356
