Pos,No,Driver,Car,Time
1,5,Michael SchumacherMSC,Benetton Ford,1:37.209
2,0,Damon HillHIL,Williams Renault,1:37.696
3,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:37.742
4,2,Nigel MansellMAN,Williams Renault,1:37.768
5,6,Johnny HerbertHER,Benetton Ford,1:37.828
6,15,Eddie IrvineIRV,Jordan Hart,1:37.880
7,27,Jean AlesiALE,Ferrari,1:37.907
8,7,Mika HakkinenHAK,McLaren Peugeot,1:37.998
9,8,Martin BrundleBRU,McLaren Peugeot,1:38.076
10,14,Rubens BarrichelloBAR,Jordan Hart,1:38.533
11,28,Gerhard BergerBER,Ferrari,1:38.570
12,10,Gianni MorbidelliMOR,Footwork Ford,1:39.030
13,4,Mark BlundellBLU,Tyrrell Yamaha,1:39.266
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:39.462
15,29,Jyrki JarvilehtoJAR,Sauber Mercedes,1:39.483
16,23,Pierluigi MartiniMAR,Minardi Ford,1:39.548
17,12,Alessandro ZanardiZAN,Lotus Mugen Honda,1:39.721
18,9,Christian FittipaldiFIT,Footwork Ford,1:39.868
19,26,Olivier PanisPAN,Ligier Renault,1:40.042
20,25,Franck LagorceLAG,Ligier Renault,1:40.577
21,24,Michele AlboretoALB,Minardi Ford,1:40.652
22,20,Erik ComasCOM,Larrousse Ford,1:40.978
23,19,Hideki NodaNOD,Larrousse Ford,1:40.990
24,31,David BrabhamBRA,Simtek Ford,1:41.659
25,11,Mika SaloSAL,Lotus Mugen Honda,1:41.805
26,32,Taki InoueINO,Simtek Ford,1:45.004
