Pos,No,Driver,Car,Time
1,28,Gerhard BergerBER,Ferrari,1:43.582
2,27,Jean AlesiALE,Ferrari,1:44.012
3,0,Damon HillHIL,Williams Renault,1:44.026
4,5,Michael SchumacherMSC,Benetton Ford,1:44.268
5,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:44.718
6,2,David CoulthardCOU,Williams Renault,1:45.146
7,4,Mark BlundellBLU,Tyrrell Yamaha,1:45.474
8,7,Mika HakkinenHAK,McLaren Peugeot,1:45.487
9,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:45.893
10,15,Eddie IrvineIRV,Jordan Hart,1:45.911
11,14,Rubens BarrichelloBAR,Jordan Hart,1:45.939
12,26,Olivier PanisPAN,Ligier Renault,1:46.165
13,8,Martin BrundleBRU,McLaren Peugeot,1:46.218
14,25,Eric BernardBER,Ligier Renault,1:46.290
15,12,Johnny HerbertHER,Lotus Mugen Honda,1:46.630
16,10,Gianni MorbidelliMOR,Footwork Ford,1:46.817
17,9,Christian FittipaldiFIT,Footwork Ford,1:47.102
18,29,Andrea de CesarisDEC,Sauber Mercedes,1:47.235
19,6,Jos VerstappenVER,Benetton Ford,1:47.316
20,23,Pierluigi MartiniMAR,Minardi Ford,1:47.402
21,11,Alessandro ZanardiZAN,Lotus Mugen Honda,1:47.425
22,20,Erik ComasCOM,Larrousse Ford,1:48.229
23,24,Michele AlboretoALB,Minardi Ford,1:48.295
24,19,Olivier BerettaBER,Larrousse Ford,1:48.681
25,31,David BrabhamBRA,Simtek Ford,1:48.870
26,32,Jean-Marc GounonGOU,Simtek Ford,1:49.204
