Pos,No,Driver,Car,Laps,Time/retired,Pts
1,12,Gilles VilleneuveVIL,Ferrari,70,1:57:49.196,9
2,20,Jody ScheckterSCH,Wolf Ford,70,+13.370s,6
3,11,Carlos ReutemannREU,Ferrari,70,+19.410s,4
4,35,Riccardo PatresePAT,Arrows Ford,70,+24.670s,3
5,4,Patrick DepaillerDEP,Tyrrell Ford,70,+28.560s,2
6,22,Derek DalyDAL,Ensign Ford,70,+54.480s,1
7,3,Didier PironiPIR,Tyrrell Ford,70,+81.250s,0
8,8,Patrick TambayTAM,McLaren Ford,70,+86.560s,0
9,27,Alan  JonesJON,Williams Ford,70,+88.940s,0
10,5,Mario AndrettiAND,Lotus Ford,69,+1 lap,0
11,66,Nelson PiquetPIQ,Brabham Alfa Romeo,69,+1 lap,0
12,15,Jean-Pierre JabouilleJAB,Renault,65,+5 laps,0
NC,32,Keke RosbergROS,ATS Ford,58,+12 laps,0
NC,26,Jacques LaffiteLAF,Ligier Matra,52,DNF,0
NC,7,James HuntHUN,McLaren Ford,51,DNF,0
NC,55,Jean-Pierre JarierJAR,Lotus Ford,49,DNF,0
NC,18,Rene ArnouxARN,Surtees Ford,37,DNF,0
NC,21,Bobby RahalRAH,Wolf Ford,16,DNF,0
NC,2,John WatsonWAT,Brabham Alfa Romeo,8,DNF,0
NC,1,Niki LaudaLAU,Brabham Alfa Romeo,5,DNF,0
NC,16,Hans-Joachim StuckSTU,Shadow Ford,1,DNF,0
NC,14,Emerson FittipaldiFIT,Fittipaldi Ford,0,DNF,0
