Pos,No,Driver,Car,Laps,Time/retired,Pts
1,6,Ronnie PetersonPET,Lotus Ford,78,1:42:15.767,9
2,4,Patrick DepaillerDEP,Tyrrell Ford,78,+0.466s,6
3,2,John WatsonWAT,Brabham Alfa Romeo,78,+4.442s,4
4,27,Alan  JonesJON,Williams Ford,78,+38.990s,3
5,26,Jacques LaffiteLAF,Ligier Matra,78,+69.220s,2
6,3,Didier PironiPIR,Tyrrell Ford,77,+1 lap,1
7,5,Mario AndrettiAND,Lotus Ford,77,+1 lap,0
8,10,Jean-Pierre JarierJAR,ATS Ford,77,+1 lap,0
9,36,Rolf StommelenSTO,Arrows Ford,77,+1 lap,0
10,25,Hector RebaqueREB,Lotus Ford,77,+1 lap,0
11,30,Brett LungerLUN,McLaren Ford,76,+2 laps,0
12,19,Vittorio BrambillaBRA,Surtees Ford,76,+2 laps,0
NC,35,Riccardo PatresePAT,Arrows Ford,63,DNF,0
NC,20,Jody ScheckterSCH,Wolf Ford,59,DNF,0
NC,8,Patrick TambayTAM,McLaren Ford,56,DNF,0
NC,11,Carlos ReutemannREU,Ferrari,55,DNF,0
NC,12,Gilles VilleneuveVIL,Ferrari,55,DNF,0
NC,18,Rupert KeeganKEE,Surtees Ford,52,DNF,0
NC,1,Niki LaudaLAU,Brabham Alfa Romeo,52,DNF,0
NC,9,Jochen MassMAS,ATS Ford,43,DNF,0
NC,37,Arturo MerzarioMER,Merzario Ford,39,DNF,0
NC,15,Jean-Pierre JabouilleJAB,Renault,38,DNF,0
NC,32,Keke RosbergROS,Theodore Ford,15,DNF,0
NC,14,Emerson FittipaldiFIT,Fittipaldi Ford,8,DNF,0
NC,24,Eddie  CheeverCHE,Hesketh Ford,8,DNF,0
NC,7,James HuntHUN,McLaren Ford,5,DNF,0
