Pos,No,Driver,Car,Laps,Time/retired,Pts
1,11,Carlos ReutemannREU,Ferrari,59,1:40:48.800,9
2,27,Alan  JonesJON,Williams Ford,59,+19.739s,6
3,20,Jody ScheckterSCH,Wolf Ford,59,+45.701s,4
4,15,Jean-Pierre JabouilleJAB,Renault,59,+85.007s,3
5,14,Emerson FittipaldiFIT,Fittipaldi Ford,59,+88.089s,2
6,8,Patrick TambayTAM,McLaren Ford,59,+110.210s,1
7,7,James HuntHUN,McLaren Ford,58,+1 lap,0
8,22,Derek DalyDAL,Ensign Ford,58,+1 lap,0
9,18,Rene ArnouxARN,Surtees Ford,58,+1 lap,0
10,3,Didier PironiPIR,Tyrrell Ford,58,+1 lap,0
11,26,Jacques LaffiteLAF,Ligier Matra,58,+1 lap,0
12,21,Bobby RahalRAH,Wolf Ford,58,+1 lap,0
13,23,Brett LungerLUN,Ensign Ford,58,+1 lap,0
14,17,Clay RegazzoniREG,Shadow Ford,56,+3 laps,0
15,55,Jean-Pierre JarierJAR,Lotus Ford,55,DNF,0
16,36,Rolf StommelenSTO,Arrows Ford,54,+5 laps,0
NC,37,Arturo MerzarioMER,Merzario Ford,46,DNF,0
NC,9,Michael BleekemolenBLE,ATS Ford,43,DNF,0
NC,1,Niki LaudaLAU,Brabham Alfa Romeo,28,DNF,0
NC,5,Mario AndrettiAND,Lotus Ford,27,DNF,0
NC,2,John WatsonWAT,Brabham Alfa Romeo,25,DNF,0
NC,4,Patrick DepaillerDEP,Tyrrell Ford,23,DNF,0
NC,12,Gilles VilleneuveVIL,Ferrari,22,DNF,0
NC,32,Keke RosbergROS,ATS Ford,21,DNF,0
NC,16,Hans-Joachim StuckSTU,Shadow Ford,1,DNF,0
NC,25,Hector RebaqueREB,Lotus Ford,0,DNF,0
