Pos,No,Driver,Car,Time,Gap,Laps
1,4,Ralf SchumacherRSC,Williams BMW,1:14.966,,17
2,3,Juan Pablo MontoyaMOY,Williams BMW,1:15.577,+0.611s,17
3,5,David CoulthardCOU,McLaren Mercedes,1:15.600,+0.634s,14
4,1,Michael SchumacherMSC,Ferrari,1:15.918,+0.952s,19
5,6,Kimi RäikkönenRAI,McLaren Mercedes,1:16.012,+1.046s,14
6,8,Fernando AlonsoALO,Renault,1:16.039,+1.073s,20
7,14,Mark WebberWEB,Jaguar Cosworth,1:16.112,+1.146s,24
8,20,Olivier PanisPAN,Toyota,1:16.133,+1.167s,17
9,2,Rubens BarrichelloBAR,Ferrari,1:16.345,+1.379s,18
10,7,Jarno TrulliTRU,Renault,1:16.376,+1.410s,22
11,15,Antonio PizzoniaPIZ,Jaguar Cosworth,1:17.036,+2.070s,25
12,16,Jacques VilleneuveVIL,BAR Honda,1:17.101,+2.135s,21
13,21,Cristiano da MattaDAM,Toyota,1:17.690,+2.724s,22
14,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:17.776,+2.810s,23
15,17,Jenson ButtonBUT,BAR Honda,1:17.808,+2.842s,3
16,11,Giancarlo FisichellaFIS,Jordan Ford,1:17.908,+2.942s,21
17,9,Nick HeidfeldHEI,Sauber Petronas,1:18.057,+3.091s,25
18,12,Ralph FirmanFIR,Jordan Ford,1:18.670,+3.704s,17
19,19,Jos VerstappenVER,Minardi Cosworth,1:18.696,+3.730s,8
20,18,Justin WilsonWIL,Minardi Cosworth,1:19.044,+4.078s,18
