Pos,No,Driver,Car,Laps,Time/retired,Pts
1,23,Rubens BarrichelloBAR,Brawn Mercedes,53,1:16:21.706,10
2,22,Jenson ButtonBUT,Brawn Mercedes,53,+2.866s,8
3,4,Kimi RäikkönenRAI,Ferrari,53,+30.664s,6
4,20,Adrian SutilSUT,Force India Mercedes,53,+31.131s,5
5,7,Fernando AlonsoALO,Renault,53,+59.182s,4
6,2,Heikki KovalainenKOV,McLaren Mercedes,53,+60.693s,3
7,6,Nick HeidfeldHEI,Sauber BMW,53,+82.412s,2
8,15,Sebastian VettelVET,RBR Renault,53,+85.407s,1
9,3,Giancarlo FisichellaFIS,Ferrari,53,+86.856s,0
10,17,Kazuki NakajimaNAK,Williams Toyota,53,+162.163s,0
11,10,Timo GlockGLO,Toyota,53,+163.925s,0
12,1,Lewis HamiltonHAM,McLaren Mercedes,52,DNF,0
13,12,Sebastien BuemiBUE,STR Ferrari,52,DNF,0
14,9,Jarno TrulliTRU,Toyota,52,+1 lap,0
15,8,Romain GrosjeanGRO,Renault,52,+1 lap,0
16,16,Nico RosbergROS,Williams Toyota,51,+2 laps,0
NC,21,Vitantonio LiuzziLIU,Force India Mercedes,22,DNF,0
NC,11,Jaime AlguersuariALG,STR Ferrari,19,DNF,0
NC,5,Robert KubicaKUB,Sauber BMW,15,DNF,0
NC,14,Mark WebberWEB,RBR Renault,0,DNF,0
