Pos,No,Driver,Car,Laps,Time/retired,Pts
1,22,Jenson ButtonBUT,Brawn Mercedes,31,55:30.622,5
2,6,Nick HeidfeldHEI,Sauber BMW,31,+22.722s,4
3,10,Timo GlockGLO,Toyota,31,+23.513s,3
4,9,Jarno TrulliTRU,Toyota,31,+46.173s,2.5
5,23,Rubens BarrichelloBAR,Brawn Mercedes,31,+47.360s,2
6,14,Mark WebberWEB,RBR Renault,31,+52.333s,1.5
7,1,Lewis HamiltonHAM,McLaren Mercedes,31,+60.733s,1
8,16,Nico RosbergROS,Williams Toyota,31,+71.576s,0.5
9,3,Felipe MassaMAS,Ferrari,31,+76.932s,0
10,11,Sebastien BourdaisBOU,STR Ferrari,31,+102.164s,0
11,7,Fernando AlonsoALO,Renault,31,+109.422s,0
12,17,Kazuki NakajimaNAK,Williams Toyota,31,+116.130s,0
13,8,Nelson PiquetPIQ,Renault,31,+116.713s,0
14,4,Kimi RäikkönenRAI,Ferrari,31,+142.841s,0
15,15,Sebastian VettelVET,RBR Renault,30,DNF,0
16,12,Sebastien BuemiBUE,STR Ferrari,30,DNF,0
17,20,Adrian SutilSUT,Force India Mercedes,30,+1 lap,0
18,21,Giancarlo FisichellaFIS,Force India Mercedes,29,DNF,0
NC,5,Robert KubicaKUB,Sauber BMW,1,DNF,0
NC,2,Heikki KovalainenKOV,McLaren Mercedes,0,DNF,0
