Pos,No,Driver,Car,Laps,Time/retired,Pts
1,15,Sebastian VettelVET,RBR Renault,55,1:34:03.414,10
2,14,Mark WebberWEB,RBR Renault,55,+17.857s,8
3,22,Jenson ButtonBUT,Brawn Mercedes,55,+18.467s,6
4,23,Rubens BarrichelloBAR,Brawn Mercedes,55,+22.735s,5
5,6,Nick HeidfeldHEI,Sauber BMW,55,+26.253s,4
6,10,Kamui KobayashiKOB,Toyota,55,+28.343s,3
7,9,Jarno TrulliTRU,Toyota,55,+34.366s,2
8,12,Sebastien BuemiBUE,STR Ferrari,55,+41.294s,1
9,16,Nico RosbergROS,Williams Toyota,55,+45.941s,0
10,5,Robert KubicaKUB,Sauber BMW,55,+48.180s,0
11,2,Heikki KovalainenKOV,McLaren Mercedes,55,+52.798s,0
12,4,Kimi RäikkönenRAI,Ferrari,55,+54.317s,0
13,17,Kazuki NakajimaNAK,Williams Toyota,55,+59.839s,0
14,7,Fernando AlonsoALO,Renault,55,+69.687s,0
15,21,Vitantonio LiuzziLIU,Force India Mercedes,55,+94.450s,0
16,3,Giancarlo FisichellaFIS,Ferrari,54,+1 lap,0
17,20,Adrian SutilSUT,Force India Mercedes,54,+1 lap,0
18,8,Romain GrosjeanGRO,Renault,54,+1 lap,0
NC,1,Lewis HamiltonHAM,McLaren Mercedes,20,DNF,0
NC,11,Jaime AlguersuariALG,STR Ferrari,18,DNF,0
