Pos,No,Driver,Car,Laps,Time/retired,Pts
1,6,Juan Manuel FangioFAN,Alfa Romeo,64,2:57:52.800,9
2,4,Luigi FagioliFAG,Alfa Romeo,64,+25.700s,6
3,14,Peter  WhiteheadWHI,Ferrari,61,+3 laps,4
4,44,Robert  ManzonMAN,Simca-Gordini,61,+3 laps,3
5,16,Philippe  EtancelinETA,Talbot-Lago,,SHC,1
5,16,Eugene  ChaboudCHA,Talbot-Lago,59,+5 laps,1
6,26,Charles  Pozzi POZ,Talbot-Lago,,SHC,0
6,26,Louis  RosierROS,Talbot-Lago,56,+8 laps,0
7,2,Nino FarinaFAR,Alfa Romeo,55,DNF,0
8,18,Yves Giraud-CabantousGIR,Talbot-Lago,52,+12 laps,0
NC,22,Pierre  LeveghLEV,Talbot-Lago,37,DNF,0
NC,40,Felice  BonettoBON,Maserati Milano,15,DNF,0
NC,42,Johnny ClaesCLA,Talbot-Lago,12,DNF,0
NC,20,Louis  RosierROS,Talbot-Lago,11,DNF,0
NC,32,Reg  ParnellPAR,Maserati,10,DNF,0
NC,28,Franco  RolROL,Maserati,7,DNF,0
NC,30,Louis  ChironCHI,Maserati,7,DNF,0
NC,34,David  HampshireHAM,Maserati,6,DNF,0
NC,12,Raymond  SommerSOM,Talbot-Lago,5,DNF,0
NC,36,Jose Froilan GonzalezGON,Maserati,4,DNF,0
