Pos,No,Driver,Car,Time,Gap,Laps
1,63,George RussellRUS,Mercedes,1:33.570,,18
2,81,Oscar PiastriPIA,McLaren Mercedes,1:33.785,+0.215s,14
3,55,Carlos SainzSAI,Ferrari,1:33.918,+0.348s,16
4,4,Lando NorrisNOR,McLaren Mercedes,1:34.008,+0.438s,14
5,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:34.137,+0.567s,17
6,44,Lewis HamiltonHAM,Mercedes,1:34.341,+0.771s,17
7,23,Alexander AlbonALB,Williams Mercedes,1:34.407,+0.837s,15
8,43,Franco ColapintoCOL,Williams Mercedes,1:34.723,+1.153s,15
9,20,Kevin MagnussenMAG,Haas Ferrari,1:34.883,+1.313s,13
10,10,Pierre GaslyGAS,Alpine Renault,1:34.905,+1.335s,15
11,27,Nico HulkenbergHUL,Haas Ferrari,1:34.908,+1.338s,15
12,16,Charles LeclercLEC,Ferrari,1:34.941,+1.371s,15
13,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:35.061,+1.491s,19
14,31,Esteban OconOCO,Alpine Renault,1:35.460,+1.890s,14
15,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:35.938,+2.368s,16
16,22,Yuki TsunodaTSU,RB Honda RBPT,1:36.215,+2.645s,18
17,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:36.412,+2.842s,14
18,30,Liam LawsonLAW,RB Honda RBPT,1:36.544,+2.974s,18
19,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:36.950,+3.380s,13
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:36.988,+3.418s,16
