Pos,No,Driver,Car,Time,Gap,Laps
1,81,Oscar PiastriPIA,McLaren Mercedes,1:23.433,,16
2,4,Lando NorrisNOR,McLaren Mercedes,1:23.626,+0.193s,15
3,44,Lewis HamiltonHAM,Mercedes,1:23.823,+0.390s,18
4,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:23.844,+0.411s,17
5,55,Carlos SainzSAI,Ferrari,1:23.871,+0.438s,21
6,63,George RussellRUS,Mercedes,1:24.075,+0.642s,18
7,27,Nico HulkenbergHUL,Haas Ferrari,1:24.093,+0.660s,14
8,20,Kevin MagnussenMAG,Haas Ferrari,1:24.094,+0.661s,14
9,16,Charles LeclercLEC,Ferrari,1:24.098,+0.665s,20
10,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:24.283,+0.850s,17
11,22,Yuki TsunodaTSU,RB Honda RBPT,1:24.343,+0.910s,18
12,23,Alexander AlbonALB,Williams Mercedes,1:24.378,+0.945s,15
13,10,Pierre GaslyGAS,Alpine Renault,1:24.408,+0.975s,17
14,61,Jack DoohanDOO,Alpine Renault,1:24.434,+1.001s,17
15,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:24.453,+1.020s,19
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:24.479,+1.046s,16
17,30,Liam LawsonLAW,RB Honda RBPT,1:24.519,+1.086s,19
18,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:24.531,+1.098s,20
19,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:24.668,+1.235s,16
20,43,Franco ColapintoCOL,Williams Mercedes,1:24.766,+1.333s,15
