Pos,No,Driver,Car,Time,Gap,Laps
1,81,Oscar PiastriPIA,McLaren Mercedes,1:15.529,,15
2,4,Lando NorrisNOR,McLaren Mercedes,1:15.829,+0.300s,15
3,55,Carlos SainzSAI,Ferrari,1:16.067,+0.538s,22
4,16,Charles LeclercLEC,Ferrari,1:16.087,+0.558s,20
5,63,George RussellRUS,Mercedes,1:16.095,+0.566s,16
6,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:16.366,+0.837s,21
7,23,Alexander AlbonALB,Williams Mercedes,1:16.470,+0.941s,14
8,31,Esteban OconOCO,Alpine Renault,1:16.481,+0.952s,19
9,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:16.543,+1.014s,24
10,27,Nico HulkenbergHUL,Haas Ferrari,1:16.547,+1.018s,15
11,3,Daniel RicciardoRIC,RB Honda RBPT,1:16.560,+1.031s,15
12,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:16.631,+1.102s,18
13,22,Yuki TsunodaTSU,RB Honda RBPT,1:16.668,+1.139s,14
14,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:16.695,+1.166s,15
15,2,Logan SargeantSAR,Williams Mercedes,1:16.794,+1.265s,16
16,20,Kevin MagnussenMAG,Haas Ferrari,1:16.923,+1.394s,12
17,44,Lewis HamiltonHAM,Mercedes,1:16.960,+1.431s,16
18,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:17.339,+1.810s,10
19,10,Pierre GaslyGAS,Alpine Renault,1:17.361,+1.832s,17
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:17.891,+2.362s,15
