Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,5,Sebastian VettelVET,Ferrari,1,13:04:31,32.037,32.037
1,44,Lewis HamiltonHAM,Mercedes,1,13:04:57,29.283,29.283
1,55,Carlos SainzSAI,Renault,2,13:06:13,22.852,22.852
1,19,Felipe MassaMAS,Williams Mercedes,3,13:07:22,22.055,22.055
1,94,Pascal WehrleinWEH,Sauber Ferrari,4,13:08:55,23.358,23.358
1,11,Sergio PerezPER,Force India Mercedes,18,13:27:58,22.903,22.903
1,27,Nico HulkenbergHUL,Renault,19,13:29:17,22.587,22.587
1,31,Esteban OconOCO,Force India Mercedes,20,13:30:35,22.665,22.665
1,9,Marcus EricssonERI,Sauber Ferrari,28,13:42:13,22.736,22.736
1,20,Kevin MagnussenMAG,Haas Ferrari,31,13:46:09,22.507,22.507
1,2,Stoffel VandoorneVAN,McLaren Honda,31,13:46:25,28.044,28.044
1,33,Max VerstappenVER,Red Bull Racing TAG Heuer,32,13:46:33,22.570,22.570
1,10,Pierre GaslyGAS,Toro Rosso,31,13:46:43,22.709,22.709
1,8,Romain GrosjeanGRO,Haas Ferrari,31,13:46:45,28.761,28.761
1,77,Valtteri BottasBOT,Mercedes,32,13:46:46,21.758,21.758
2,44,Lewis HamiltonHAM,Mercedes,31,13:46:57,23.315,52.598
2,55,Carlos SainzSAI,Renault,31,13:47:07,23.035,45.887
1,7,Kimi RäikkönenRAI,Ferrari,32,13:47:13,22.540,22.540
1,18,Lance StrollSTR,Williams Mercedes,32,13:47:37,21.825,21.825
2,5,Sebastian VettelVET,Ferrari,32,13:48:10,22.379,54.416
1,14,Fernando AlonsoALO,McLaren Honda,32,13:48:13,22.655,22.655
2,11,Sergio PerezPER,Force India Mercedes,50,14:12:39,22.528,45.431
2,8,Romain GrosjeanGRO,Haas Ferrari,62,14:30:09,23.035,51.796
