Pos,No,Driver,Car,Time
1,5,Nigel MansellMAN,Williams Honda,1:28.047
2,28,Gerhard BergerBER,Ferrari,1:28.549
3,6,Nelson PiquetPIQ,Williams Honda,1:29.724
4,1,Alain ProstPRO,McLaren TAG,1:30.156
5,27,Michele AlboretoALB,Ferrari,1:30.310
6,12,Ayrton SennaSEN,Lotus Honda,1:30.387
7,20,Thierry BoutsenBOU,Benetton Ford,1:30.748
8,2,Stefan JohanssonJOH,McLaren TAG,1:31.228
9,17,Derek WarwickWAR,Arrows Megatron,1:31.416
10,7,Riccardo PatresePAT,Brabham BMW,1:31.586
11,18,Eddie  CheeverCHE,Arrows Megatron,1:32.336
12,19,Teo FabiFAB,Benetton Ford,1:32.452
13,8,Andrea de CesarisDEC,Brabham BMW,1:32.628
14,4,Philippe StreiffSTR,Tyrrell Ford,1:33.644
15,30,Philippe AlliotALL,Lola Ford,1:33.777
16,3,Jonathan  PalmerPAL,Tyrrell Ford,1:33.895
17,11,Satoru NakajimaNAK,Lotus Honda,1:34.297
18,16,Ivan CapelliCAP,March Ford,1:34.426
19,25,Rene ArnouxARN,Ligier Megatron,1:34.518
20,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:34.770
21,21,Alex CaffiCAF,Osella Alfa Romeo,1:35.594
22,9,Martin BrundleBRU,Zakspeed,1:35.754
23,10,Christian DannerDAN,Zakspeed,1:35.930
24,23,Adrian CamposCAM,Minardi Motori Moderni,1:36.067
25,26,Piercarlo GhinzaniGHI,Ligier Megatron,1:36.109
26,14,Pascal FabreFAB,AGS Ford,1:37.730
