Pos,No,Driver,Car,Laps,Time/retired,Pts
1,2,Rubens BarrichelloBAR,Ferrari,56,1:29:12.420,10
2,9,Jenson ButtonBUT,BAR Honda,56,+1.035s,8
3,6,Kimi RäikkönenRAI,McLaren Mercedes,56,+1.469s,6
4,8,Fernando AlonsoALO,Renault,56,+32.510s,5
5,3,Juan Pablo MontoyaMOY,Williams BMW,56,+45.193s,4
6,10,Takuma SatoSAT,BAR Honda,56,+54.791s,3
7,11,Giancarlo FisichellaFIS,Sauber Petronas,56,+65.464s,2
8,12,Felipe MassaMAS,Sauber Petronas,56,+80.080s,1
9,5,David CoulthardCOU,McLaren Mercedes,56,+80.619s,0
10,14,Mark WebberWEB,Jaguar Cosworth,55,+1 lap,0
11,7,Jacques VilleneuveVIL,Renault,55,+1 lap,0
12,1,Michael SchumacherMSC,Ferrari,55,+1 lap,0
13,18,Nick HeidfeldHEI,Jordan Ford,55,+1 lap,0
14,17,Olivier PanisPAN,Toyota,55,+1 lap,0
15,19,Timo GlockGLO,Jordan Ford,55,+1 lap,0
16,21,Zsolt BaumgartnerBAU,Minardi Cosworth,53,+3 laps,0
NC,20,Gianmaria BruniBRU,Minardi Cosworth,38,DNF,0
NC,4,Ralf SchumacherRSC,Williams BMW,37,DNF,0
NC,16,Ricardo ZontaZON,Toyota,35,DNF,0
NC,15,Christian KlienKLI,Jaguar Cosworth,11,DNF,0
