Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Michael SchumacherMSC,Ferrari,60,1:24:42.700,10
2,6,Kimi RäikkönenRAI,McLaren Mercedes,60,+2.130s,8
3,2,Rubens BarrichelloBAR,Ferrari,60,+3.114s,6
4,9,Jenson ButtonBUT,BAR Honda,60,+10.683s,5
5,3,Juan Pablo MontoyaMOY,Williams BMW,60,+12.173s,4
6,11,Giancarlo FisichellaFIS,Sauber Petronas,60,+12.888s,3
7,5,David CoulthardCOU,McLaren Mercedes,60,+19.668s,2
8,14,Mark WebberWEB,Jaguar Cosworth,60,+23.701s,1
9,12,Felipe MassaMAS,Sauber Petronas,60,+24.023s,0
10,8,Fernando AlonsoALO,Renault,60,+24.835s,0
11,10,Takuma SatoSAT,BAR Honda,60,+33.736s,0
12,4,Marc GeneGEN,Williams BMW,60,+34.303s,0
13,16,Cristiano da MattaDAM,Toyota,59,+1 lap,0
14,15,Christian KlienKLI,Jaguar Cosworth,59,+1 lap,0
15,18,Nick HeidfeldHEI,Jordan Ford,59,+1 lap,0
16,20,Gianmaria BruniBRU,Minardi Cosworth,56,+4 laps,0
NC,19,Giorgio PantanoPAN,Jordan Ford,47,DNF,0
NC,7,Jarno TrulliTRU,Renault,39,DNF,0
NC,21,Zsolt BaumgartnerBAU,Minardi Cosworth,29,DNF,0
NC,17,Olivier PanisPAN,Toyota,16,DNF,0
