Pos,No,Driver,Car,Time,Gap,Laps
1,5,Michael SchumacherMSC,Benetton Ford,1:27.432,,15
2,14,Rubens BarrichelloBAR,Jordan Hart,1:27.935,+0.503s,18
3,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:28.108,+0.676s,22
4,0,Damon HillHIL,Williams Renault,1:28.144,+0.712s,6
5,15,Eddie IrvineIRV,Jordan Hart,1:28.160,+0.728s,21
6,7,Mika HakkinenHAK,McLaren Peugeot,1:28.216,+0.784s,19
7,2,David CoulthardCOU,Williams Renault,1:28.569,+1.137s,11
8,4,Mark BlundellBLU,Tyrrell Yamaha,1:28.592,+1.160s,17
9,10,Gianni MorbidelliMOR,Footwork Ford,1:28.880,+1.448s,19
10,8,Martin BrundleBRU,McLaren Peugeot,1:29.167,+1.735s,16
11,23,Pierluigi MartiniMAR,Minardi Ford,1:29.403,+1.971s,23
12,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:29.726,+2.294s,20
13,6,Jos VerstappenVER,Benetton Ford,1:29.743,+2.311s,20
14,24,Michele AlboretoALB,Minardi Ford,1:30.032,+2.600s,22
15,27,Jean AlesiALE,Ferrari,1:30.109,+2.677s,14
16,9,Christian FittipaldiFIT,Footwork Ford,1:30.135,+2.703s,17
17,26,Olivier PanisPAN,Ligier Renault,1:30.383,+2.951s,20
18,25,Eric BernardBER,Ligier Renault,1:30.686,+3.254s,22
19,19,Olivier BerettaBER,Larrousse Ford,1:30.960,+3.528s,22
20,12,Johnny HerbertHER,Lotus Mugen Honda,1:31.155,+3.723s,15
21,20,Erik ComasCOM,Larrousse Ford,1:31.436,+4.004s,22
22,11,Alessandro ZanardiZAN,Lotus Mugen Honda,1:31.785,+4.353s,19
23,32,Jean-Marc GounonGOU,Simtek Ford,1:31.964,+4.532s,18
24,29,Andrea de CesarisDEC,Sauber Mercedes,1:32.059,+4.627s,16
25,34,Bertrand GachotGAC,Pacific Ilmor,1:32.068,+4.636s,21
26,31,David BrabhamBRA,Simtek Ford,1:32.648,+5.216s,16
27,33,Paul BelmondoBEL,Pacific Ilmor,1:34.999,+7.567s,19
