Pos,No,Driver,Car,Time,Gap,Laps
1,2,David CoulthardCOU,Williams Renault,1:22.133,,21
2,0,Damon HillHIL,Williams Renault,1:22.204,+0.071s,21
3,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:22.374,+0.241s,19
4,14,Rubens BarrichelloBAR,Jordan Hart,1:22.491,+0.358s,21
5,7,Mika HakkinenHAK,McLaren Peugeot,1:22.565,+0.432s,22
6,8,Martin BrundleBRU,McLaren Peugeot,1:22.735,+0.602s,22
7,28,Gerhard BergerBER,Ferrari,1:22.796,+0.663s,19
8,27,Jean AlesiALE,Ferrari,1:23.383,+1.250s,16
9,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:23.782,+1.649s,23
10,15,Eddie IrvineIRV,Jordan Hart,1:23.794,+1.661s,11
11,6,Jos VerstappenVER,Benetton Ford,1:23.818,+1.685s,23
12,4,Mark BlundellBLU,Tyrrell Yamaha,1:23.824,+1.691s,23
13,12,Johnny HerbertHER,Lotus Mugen Honda,1:23.844,+1.711s,17
14,9,Christian FittipaldiFIT,Footwork Ford,1:24.026,+1.893s,16
15,5,Jyrki JarvilehtoJAR,Benetton Ford,1:24.191,+2.058s,21
16,10,Gianni MorbidelliMOR,Footwork Ford,1:24.256,+2.123s,13
17,29,Andrea de CesarisDEC,Sauber Mercedes,1:24.272,+2.139s,22
18,24,Michele AlboretoALB,Minardi Ford,1:24.585,+2.452s,22
19,23,Pierluigi MartiniMAR,Minardi Ford,1:24.723,+2.590s,19
20,19,Yannick DalmasDAL,Larrousse Ford,1:24.841,+2.708s,23
21,31,David BrabhamBRA,Simtek Ford,1:25.345,+3.212s,23
22,20,Erik ComasCOM,Larrousse Ford,1:25.382,+3.249s,21
23,26,Olivier PanisPAN,Ligier Renault,1:25.499,+3.366s,21
24,32,Jean-Marc GounonGOU,Simtek Ford,1:26.075,+3.942s,13
25,25,Eric BernardBER,Ligier Renault,1:26.381,+4.248s,10
26,11,Philippe AdamsADA,Lotus Mugen Honda,1:26.846,+4.713s,23
27,34,Bertrand GachotGAC,Pacific Ilmor,1:30.740,+8.607s,8
28,33,Paul BelmondoBEL,Pacific Ilmor,1:31.253,+9.120s,10
