Pos,No,Driver,Car,Time,Gap,Laps
1,2,Ayrton SennaSEN,Williams Renault,1:10.223,,21
2,5,Michael SchumacherMSC,Benetton Ford,1:11.223,+1.000s,21
3,20,Erik ComasCOM,Larrousse Ford,1:12.230,+2.007s,19
4,0,Damon HillHIL,Williams Renault,1:12.323,+2.100s,20
5,7,Mika HakkinenHAK,McLaren Peugeot,1:12.722,+2.499s,21
6,14,Rubens BarrichelloBAR,Jordan Hart,1:12.827,+2.604s,21
7,8,Martin BrundleBRU,McLaren Peugeot,1:13.103,+2.880s,20
8,28,Gerhard BergerBER,Ferrari,1:13.152,+2.929s,21
9,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:13.424,+3.201s,21
10,6,Jos VerstappenVER,Benetton Ford,1:13.623,+3.400s,15
11,26,Olivier PanisPAN,Ligier Renault,1:13.658,+3.435s,21
12,4,Mark BlundellBLU,Tyrrell Yamaha,1:13.757,+3.534s,21
13,23,Pierluigi MartiniMAR,Minardi Ford,1:13.778,+3.555s,21
14,9,Christian FittipaldiFIT,Footwork Ford,1:13.936,+3.713s,21
15,29,Karl WendlingerWEN,Sauber Mercedes,1:13.984,+3.761s,18
16,10,Gianni MorbidelliMOR,Footwork Ford,1:14.147,+3.924s,13
17,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:14.175,+3.952s,17
18,27,Nicola LariniLAR,Ferrari,1:14.253,+4.030s,12
19,12,Johnny HerbertHER,Lotus Mugen Honda,1:14.357,+4.134s,21
20,15,Aguri SuzukiSUZ,Jordan Hart,1:14.436,+4.213s,21
21,24,Michele AlboretoALB,Minardi Ford,1:14.746,+4.523s,22
22,31,David BrabhamBRA,Simtek Ford,1:14.923,+4.700s,20
23,11,Pedro LamyLAM,Lotus Mugen Honda,1:14.985,+4.762s,21
24,19,Olivier BerettaBER,Larrousse Ford,1:15.093,+4.870s,11
25,25,Eric BernardBER,Ligier Renault,1:15.772,+5.549s,15
26,32,Roland RatzenbergerRAT,Simtek Ford,1:16.931,+6.708s,19
27,34,Bertrand GachotGAC,Pacific Ilmor,1:17.218,+6.995s,13
28,33,Paul BelmondoBEL,Pacific Ilmor,1:19.597,+9.374s,3
