Pos,No,Driver,Car,Laps,Time/retired,Pts
1,3,Fernando AlonsoALO,Ferrari,56,1:36:26.945,25
2,7,Kimi RäikkönenRAI,Lotus Renault,56,+10.168s,18
3,10,Lewis HamiltonHAM,Mercedes,56,+12.322s,15
4,1,Sebastian VettelVET,Red Bull Racing Renault,56,+12.525s,12
5,5,Jenson ButtonBUT,McLaren Mercedes,56,+35.285s,10
6,4,Felipe MassaMAS,Ferrari,56,+40.827s,8
7,19,Daniel RicciardoRIC,STR Ferrari,56,+42.691s,6
8,14,Paul di RestaDIR,Force India Mercedes,56,+51.084s,4
9,8,Romain GrosjeanGRO,Lotus Renault,56,+53.423s,2
10,11,Nico HulkenbergHUL,Sauber Ferrari,56,+56.598s,1
11,6,Sergio PerezPER,McLaren Mercedes,56,+63.860s,0
12,18,Jean-Eric VergneVER,STR Ferrari,56,+72.604s,0
13,17,Valtteri BottasBOT,Williams Renault,56,+93.861s,0
14,16,Pastor MaldonadoMAL,Williams Renault,56,+95.453s,0
15,22,Jules BianchiBIA,Marussia Cosworth,55,+1 lap,0
16,20,Charles PicPIC,Caterham Renault,55,+1 lap,0
17,23,Max ChiltonCHI,Marussia Cosworth,55,+1 lap,0
18,21,Giedo van der GardeVDG,Caterham Renault,55,+1 lap,0
NC,9,Nico RosbergROS,Mercedes,21,DNF,0
NC,2,Mark WebberWEB,Red Bull Racing Renault,15,DNF,0
NC,15,Adrian SutilSUT,Force India Mercedes,5,DNF,0
NC,12,Esteban Gutierrez GUT,Sauber Ferrari,4,DNF,0
