Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Sebastian VettelVET,Red Bull Racing Renault,60,1:31:12.187,25
2,9,Nico RosbergROS,Mercedes,60,+29.823s,18
3,8,Romain GrosjeanGRO,Lotus Renault,60,+39.892s,15
4,4,Felipe MassaMAS,Ferrari,60,+41.692s,12
5,6,Sergio PerezPER,McLaren Mercedes,60,+43.829s,10
6,10,Lewis HamiltonHAM,Mercedes,60,+52.475s,8
7,7,Kimi RäikkönenRAI,Lotus Renault,60,+67.988s,6
8,14,Paul di RestaDIR,Force India Mercedes,60,+72.868s,4
9,15,Adrian SutilSUT,Force India Mercedes,60,+74.734s,2
10,19,Daniel RicciardoRIC,STR Ferrari,60,+76.237s,1
11,3,Fernando AlonsoALO,Ferrari,60,+78.297s,0
12,16,Pastor MaldonadoMAL,Williams Renault,60,+78.951s,0
13,18,Jean-Eric VergneVER,STR Ferrari,59,+1 lap,0
14,5,Jenson ButtonBUT,McLaren Mercedes,59,+1 lap,0
15,12,Esteban Gutierrez GUT,Sauber Ferrari,59,+1 lap,0
16,17,Valtteri BottasBOT,Williams Renault,59,+1 lap,0
17,23,Max ChiltonCHI,Marussia Cosworth,58,+2 laps,0
18,22,Jules BianchiBIA,Marussia Cosworth,58,+2 laps,0
19,11,Nico HulkenbergHUL,Sauber Ferrari,54,DNF,0
NC,2,Mark WebberWEB,Red Bull Racing Renault,39,DNF,0
NC,20,Charles PicPIC,Caterham Renault,35,DNF,0
NC,21,Giedo van der GardeVDG,Caterham Renault,1,DNF,0
