Pos,No,Driver,Car,Time
1,28,Gerhard BergerBER,McLaren Honda,1:17.227
2,6,Riccardo PatresePAT,Williams Renault,1:17.498
3,27,Ayrton SennaSEN,McLaren Honda,1:17.670
4,2,Nigel MansellMAN,Ferrari,1:17.732
5,5,Thierry BoutsenBOU,Williams Renault,1:17.883
6,4,Jean AlesiALE,Tyrrell Ford,1:18.282
7,23,Pierluigi MartiniMAR,Minardi Ford,1:18.526
8,20,Nelson PiquetPIQ,Benetton Ford,1:18.561
9,3,Satoru NakajimaNAK,Tyrrell Ford,1:18.575
10,8,Stefano ModenaMOD,Brabham Judd,1:18.592
11,11,Derek WarwickWAR,Lotus Lamborghini,1:18.951
12,12,Martin DonnellyDON,Lotus Lamborghini,1:18.994
13,1,Alain ProstPRO,Ferrari,1:19.026
14,19,Alessandro NanniniNAN,Benetton Ford,1:19.227
15,22,Andrea de CesarisDEC,Dallara Ford,1:19.865
16,24,Paolo BarillaBAR,Minardi Ford,1:19.897
17,9,Michele AlboretoALB,Arrows Ford,1:19.941
18,21,Emanuele PirroPIR,Dallara Ford,1:20.044
19,30,Aguri SuzukiSUZ,Lola Lamborghini,1:20.268
20,14,Olivier GrouillardGRO,Osella Ford,1:20.274
21,7,David BrabhamBRA,Brabham Judd,1:20.447
22,26,Philippe AlliotALL,Ligier Ford,1:20.657
23,35,Gregor FoitekFOI,Onyx Ford,1:21.012
24,25,Nicola LariniLAR,Ligier Ford,1:21.116
25,29,Eric BernardBER,Lola Lamborghini,1:21.273
26,36,Jyrki JarvilehtoJAR,Onyx Ford,1:21.519
