Pos,No,Driver,Car,Time
1,2,Nigel MansellMAN,Ferrari,1:07.428
2,27,Ayrton SennaSEN,McLaren Honda,1:08.071
3,28,Gerhard BergerBER,McLaren Honda,1:08.246
4,5,Thierry BoutsenBOU,Williams Renault,1:08.291
5,1,Alain ProstPRO,Ferrari,1:08.336
6,4,Jean AlesiALE,Tyrrell Ford,1:08.370
7,6,Riccardo PatresePAT,Williams Renault,1:08.677
8,29,Eric BernardBER,Lola Lamborghini,1:09.003
9,30,Aguri SuzukiSUZ,Lola Lamborghini,1:09.243
10,16,Ivan CapelliCAP,Leyton House Judd,1:09.308
11,20,Nelson PiquetPIQ,Benetton Ford,1:09.407
12,3,Satoru NakajimaNAK,Tyrrell Ford,1:09.608
13,19,Alessandro NanniniNAN,Benetton Ford,1:09.641
14,12,Martin DonnellyDON,Lotus Lamborghini,1:09.741
15,15,Mauricio GugelminGUG,Leyton House Judd,1:10.044
16,11,Derek WarwickWAR,Lotus Lamborghini,1:10.092
17,10,Alex CaffiCAF,Arrows Ford,1:10.110
18,23,Pierluigi MartiniMAR,Minardi Ford,1:10.303
19,21,Emanuele PirroPIR,Dallara Ford,1:10.847
20,8,Stefano ModenaMOD,Brabham Judd,1:11.070
21,25,Nicola LariniLAR,Ligier Ford,1:11.180
22,26,Philippe AlliotALL,Ligier Ford,1:11.215
23,22,Andrea de CesarisDEC,Dallara Ford,1:11.234
24,24,Paolo BarillaBAR,Minardi Ford,1:11.387
25,9,Michele AlboretoALB,Arrows Ford,1:11.562
26,17,Gabriele TarquiniTAR,AGS Ford,1:11.681
