Pos,No,Driver,Car,Time
1,27,Ayrton SennaSEN,McLaren Honda,1:21.314
2,1,Alain ProstPRO,Ferrari,1:21.776
3,4,Jean AlesiALE,Tyrrell Ford,1:21.801
4,6,Riccardo PatresePAT,Williams Renault,1:22.026
5,28,Gerhard BergerBER,McLaren Honda,1:22.682
6,5,Thierry BoutsenBOU,Williams Renault,1:22.691
7,2,Nigel MansellMAN,Ferrari,1:22.733
8,23,Pierluigi MartiniMAR,Minardi Ford,1:23.149
9,21,Emanuele PirroPIR,Dallara Ford,1:23.494
10,20,Nelson PiquetPIQ,Benetton Ford,1:23.566
11,12,Martin DonnellyDON,Lotus Lamborghini,1:23.600
12,22,Andrea de CesarisDEC,Dallara Ford,1:23.613
13,11,Derek WarwickWAR,Lotus Lamborghini,1:23.656
14,8,Stefano ModenaMOD,Brabham Judd,1:23.920
15,30,Aguri SuzukiSUZ,Lola Lamborghini,1:24.023
16,19,Alessandro NanniniNAN,Benetton Ford,1:24.139
17,25,Nicola LariniLAR,Ligier Ford,1:24.206
18,26,Philippe AlliotALL,Ligier Ford,1:24.294
19,24,Paolo BarillaBAR,Minardi Ford,1:24.334
20,35,Gregor FoitekFOI,Onyx Ford,1:24.367
21,3,Satoru NakajimaNAK,Tyrrell Ford,1:24.371
22,10,Alex CaffiCAF,Arrows Ford,1:25.000
23,16,Ivan CapelliCAP,Leyton House Judd,1:25.020
24,29,Eric BernardBER,Lola Lamborghini,1:25.398
25,7,David BrabhamBRA,Brabham Judd,1:25.420
26,36,Jyrki JarvilehtoJAR,Onyx Ford,1:25.508
