Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Fernando AlonsoALO,McLaren Mercedes,15,1:22.871,251.653
2,2,Lewis HamiltonHAM,McLaren Mercedes,17,1:22.936,251.456
3,6,Kimi RäikkönenRAI,Ferrari,21,1:23.370,250.147
4,9,Nick HeidfeldHEI,Sauber BMW,19,1:23.681,249.217
5,10,Robert KubicaKUB,Sauber BMW,22,1:23.908,248.543
6,5,Felipe MassaMAS,Ferrari,8,1:23.971,248.357
7,4,Heikki KovalainenKOV,Renault,53,1:24.226,247.605
8,16,Nico RosbergROS,Williams Toyota,52,1:24.472,246.884
9,7,Jenson ButtonBUT,Honda,32,1:24.532,246.708
10,12,Jarno TrulliTRU,Toyota,49,1:24.622,246.446
11,22,Takuma SatoSAT,Super Aguri Honda,49,1:24.669,246.309
12,8,Rubens BarrichelloBAR,Honda,52,1:24.767,246.024
13,15,Mark WebberWEB,Red Bull Renault,46,1:24.824,245.859
14,3,Giancarlo FisichellaFIS,Renault,32,1:24.849,245.787
15,11,Ralf SchumacherRSC,Toyota,49,1:24.951,245.492
16,17,Alexander WurzWUR,Williams Toyota,42,1:25.000,245.350
17,23,Anthony DavidsonDAV,Super Aguri Honda,46,1:25.116,245.016
18,19,Sebastian VettelVET,STR Ferrari,47,1:25.313,244.450
19,18,Vitantonio LiuzziLIU,STR Ferrari,45,1:25.373,244.278
20,20,Adrian SutilSUT,Spyker Ferrari,30,1:25.377,244.267
21,21,Sakon YamamotoYAM,Spyker Ferrari,34,1:25.478,243.978
