Pos,No,Driver,Car,Lap,Time,Avg speed
1,5,Felipe MassaMAS,Ferrari,34,1:48.036,233.388
2,6,Kimi RäikkönenRAI,Ferrari,12,1:48.095,233.261
3,1,Fernando AlonsoALO,McLaren Mercedes,44,1:48.182,233.073
4,2,Lewis HamiltonHAM,McLaren Mercedes,41,1:48.215,233.002
5,9,Nick HeidfeldHEI,Sauber BMW,33,1:48.663,232.042
6,10,Robert KubicaKUB,Sauber BMW,32,1:48.894,231.549
7,12,Jarno TrulliTRU,Toyota,43,1:48.990,231.345
8,4,Heikki KovalainenKOV,Renault,21,1:49.600,230.058
9,16,Nico RosbergROS,Williams Toyota,29,1:49.769,229.704
10,11,Ralf SchumacherRSC,Toyota,43,1:50.022,229.175
11,15,Mark WebberWEB,Red Bull Renault,12,1:50.049,229.119
12,8,Rubens BarrichelloBAR,Honda,43,1:50.678,227.817
13,18,Vitantonio LiuzziLIU,STR Ferrari,40,1:50.730,227.710
14,22,Takuma SatoSAT,Super Aguri Honda,32,1:50.886,227.390
15,20,Adrian SutilSUT,Spyker Ferrari,29,1:50.902,227.357
16,7,Jenson ButtonBUT,Honda,22,1:51.141,226.868
17,14,David CoulthardCOU,Red Bull Renault,24,1:51.156,226.837
18,17,Alexander WurzWUR,Williams Toyota,18,1:51.270,226.605
19,23,Anthony DavidsonDAV,Super Aguri Honda,43,1:51.391,226.359
20,21,Sakon YamamotoYAM,Spyker Ferrari,30,1:51.648,225.838
21,19,Sebastian VettelVET,STR Ferrari,4,1:52.724,223.682
