Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Lewis HamiltonHAM,McLaren Mercedes,27,1:28.193,186.259
2,1,Fernando AlonsoALO,McLaren Mercedes,25,1:28.511,185.590
3,15,Mark WebberWEB,Red Bull Renault,30,1:28.940,184.695
4,10,Robert KubicaKUB,Sauber BMW,32,1:29.021,184.527
5,19,Sebastian VettelVET,STR Ferrari,31,1:29.057,184.452
6,9,Nick HeidfeldHEI,Sauber BMW,28,1:29.084,184.396
7,5,Felipe MassaMAS,Ferrari,32,1:29.588,183.359
8,6,Kimi RäikkönenRAI,Ferrari,29,1:29.619,183.295
9,4,Heikki KovalainenKOV,Renault,34,1:29.655,183.222
10,16,Nico RosbergROS,Williams Toyota,27,1:29.926,182.670
11,14,David CoulthardCOU,Red Bull Renault,56,1:30.086,182.345
12,3,Giancarlo FisichellaFIS,Renault,33,1:30.387,181.738
13,18,Vitantonio LiuzziLIU,STR Ferrari,35,1:30.653,181.205
14,11,Ralf SchumacherRSC,Toyota,33,1:30.865,180.782
15,8,Rubens BarrichelloBAR,Honda,57,1:31.060,180.395
16,22,Takuma SatoSAT,Super Aguri Honda,54,1:31.507,179.514
17,23,Anthony DavidsonDAV,Super Aguri Honda,27,1:31.803,178.935
18,20,Adrian SutilSUT,Spyker Ferrari,54,1:31.891,178.763
19,7,Jenson ButtonBUT,Honda,58,1:31.951,178.647
20,21,Sakon YamamotoYAM,Spyker Ferrari,33,1:32.130,178.300
21,12,Jarno TrulliTRU,Toyota,55,1:32.414,177.752
22,17,Alexander WurzWUR,Williams Toyota,19,2:05.636,130.749
