Pos,No,Driver,Car,Lap,Time,Avg speed
1,6,Kimi RäikkönenRAI,Ferrari,57,1:27.295,220.136
2,5,Felipe MassaMAS,Ferrari,18,1:27.922,218.566
3,2,Lewis HamiltonHAM,McLaren Mercedes,17,1:27.963,218.464
4,1,Fernando AlonsoALO,McLaren Mercedes,39,1:28.070,218.199
5,9,Nick HeidfeldHEI,Sauber BMW,39,1:28.319,217.583
6,16,Nico RosbergROS,Williams Toyota,37,1:28.536,217.050
7,4,Heikki KovalainenKOV,Renault,20,1:28.603,216.886
8,17,Alexander WurzWUR,Williams Toyota,55,1:28.737,216.559
9,3,Giancarlo FisichellaFIS,Renault,56,1:28.793,216.422
10,7,Jenson ButtonBUT,Honda,34,1:28.873,216.227
11,10,Robert KubicaKUB,Sauber BMW,11,1:28.918,216.118
12,11,Ralf SchumacherRSC,Toyota,55,1:28.924,216.103
13,14,David CoulthardCOU,Red Bull Renault,54,1:29.068,215.754
14,12,Jarno TrulliTRU,Toyota,39,1:29.459,214.811
15,8,Rubens BarrichelloBAR,Honda,35,1:29.513,214.681
16,18,Vitantonio LiuzziLIU,STR Ferrari,56,1:29.563,214.561
17,23,Anthony DavidsonDAV,Super Aguri Honda,38,1:29.658,214.334
18,22,Takuma SatoSAT,Super Aguri Honda,56,1:29.916,213.719
19,19,Sebastian VettelVET,STR Ferrari,39,1:29.983,213.560
20,20,Adrian SutilSUT,Spyker Ferrari,52,1:30.617,212.066
21,15,Mark WebberWEB,Red Bull Renault,4,1:30.808,211.620
22,21,Sakon YamamotoYAM,Spyker Ferrari,21,1:30.951,211.287
