Pos,No,Driver,Car,Lap,Time,Avg speed
1,6,Kimi RäikkönenRAI,Ferrari,49,1:13.117,206.397
2,2,Lewis HamiltonHAM,McLaren Mercedes,20,1:13.222,206.101
3,1,Fernando AlonsoALO,McLaren Mercedes,21,1:13.257,206.003
4,5,Felipe MassaMAS,Ferrari,50,1:13.380,205.658
5,9,Nick HeidfeldHEI,Sauber BMW,20,1:13.414,205.562
6,10,Sebastian VettelVET,Sauber BMW,53,1:13.862,204.316
7,4,Heikki KovalainenKOV,Renault,67,1:13.998,203.940
8,15,Mark WebberWEB,Red Bull Renault,57,1:14.004,203.924
9,3,Giancarlo FisichellaFIS,Renault,67,1:14.009,203.910
10,12,Jarno TrulliTRU,Toyota,30,1:14.016,203.891
11,16,Nico RosbergROS,Williams Toyota,34,1:14.066,203.753
12,23,Anthony DavidsonDAV,Super Aguri Honda,55,1:14.066,203.753
13,17,Alexander WurzWUR,Williams Toyota,41,1:14.486,202.604
14,7,Jenson ButtonBUT,Honda,42,1:14.703,202.015
15,20,Adrian SutilSUT,Spyker Ferrari,49,1:14.858,201.597
16,19,Scott SpeedSPE,STR Ferrari,66,1:15.092,200.969
17,18,Vitantonio LiuzziLIU,STR Ferrari,64,1:15.426,200.079
18,21,Christijan AlbersALB,Spyker Ferrari,65,1:15.902,198.824
19,22,Takuma SatoSAT,Super Aguri Honda,8,1:16.680,196.807
