Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,2,20:07:21,30.032,30.032
1,2,Logan SargeantSAR,Williams Mercedes,19,20:36:42,1:03.543,1:03.543
1,55,Carlos SainzSAI,Ferrari,20,20:37:19,29.499,29.499
1,16,Charles LeclercLEC,Ferrari,20,20:37:28,32.888,32.888
1,63,George RussellRUS,Mercedes,20,20:37:29,29.976,29.976
1,4,Lando NorrisNOR,McLaren Mercedes,20,20:37:31,29.485,29.485
1,44,Lewis HamiltonHAM,Mercedes,20,20:37:33,32.631,32.631
1,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,20,20:37:39,30.670,30.670
1,31,Esteban OconOCO,Alpine Renault,20,20:37:43,29.755,29.755
1,20,Kevin MagnussenMAG,Haas Ferrari,20,20:37:50,31.475,31.475
1,27,Nico HulkenbergHUL,Haas Ferrari,20,20:37:53,35.497,35.497
1,10,Pierre GaslyGAS,Alpine Renault,20,20:37:54,31.802,31.802
1,40,Liam LawsonLAW,AlphaTauri Honda RBPT,20,20:37:55,32.348,32.348
1,81,Oscar PiastriPIA,McLaren Mercedes,20,20:37:58,29.369,29.369
1,23,Alexander AlbonALB,Williams Mercedes,20,20:37:59,30.138,30.138
2,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,20,20:38:30,30.637,1:00.669
1,11,Sergio PerezPER,Red Bull Racing Honda RBPT,39,21:11:53,28.977,28.977
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,40,21:13:21,29.698,29.698
1,77,Valtteri BottasBOT,Alfa Romeo Ferrari,40,21:13:47,30.487,30.487
2,23,Alexander AlbonALB,Williams Mercedes,43,21:18:51,29.787,59.925
2,20,Kevin MagnussenMAG,Haas Ferrari,43,21:19:04,33.078,1:04.553
2,2,Logan SargeantSAR,Williams Mercedes,43,21:19:17,31.018,1:34.561
2,63,George RussellRUS,Mercedes,44,21:20:21,30.039,1:00.015
2,44,Lewis HamiltonHAM,Mercedes,44,21:20:24,33.581,1:06.212
2,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,44,21:20:59,52.708,1:23.378
