Pos,No,Driver,Car,Time,Gap,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:27.535,,18
2,16,Charles LeclercLEC,Ferrari,1:27.941,+0.406s,26
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:28.050,+0.515s,22
4,55,Carlos SainzSAI,Ferrari,1:28.125,+0.590s,27
5,31,Esteban OconOCO,Alpine Renault,1:28.407,+0.872s,25
6,10,Pierre GaslyGAS,Alpine Renault,1:28.428,+0.893s,24
7,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:28.456,+0.921s,19
8,27,Nico HulkenbergHUL,Haas Ferrari,1:28.497,+0.962s,16
9,23,Alexander AlbonALB,Williams Mercedes,1:28.561,+1.026s,20
10,63,George RussellRUS,Mercedes,1:28.606,+1.071s,20
11,20,Kevin MagnussenMAG,Haas Ferrari,1:28.607,+1.072s,14
12,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:28.618,+1.083s,24
13,44,Lewis HamiltonHAM,Mercedes,1:28.718,+1.183s,23
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:28.723,+1.188s,24
15,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:29.074,+1.539s,19
16,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:29.179,+1.644s,20
17,2,Logan SargeantSAR,Williams Mercedes,1:29.264,+1.729s,20
18,81,Oscar PiastriPIA,McLaren Mercedes,1:29.375,+1.840s,18
19,4,Lando NorrisNOR,McLaren Mercedes,1:29.401,+1.866s,18
20,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:29.447,+1.912s,22
